t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7660,7660,13,10,18,0
30.011,27152,35712,22,9,29,0
60.034,28848,35712,23,9,10,0
90.042,29052,35712,49,9,56,0
120.055,28456,35712,24,9,23,0
150.062,27020,35712,25,9,47,0
180.069,27884,35712,19,9,4,0
210.075,31168,35712,103,9,80,0
240.079,28800,35712,63,9,10,0
270.088,28152,35712,22,9,6,0
300.094,29124,35712,62,9,11,0
330.116,27768,35712,92,9,11,0
360.133,28404,35712,20,9,39,0
390.167,30236,35712,189,9,9,0
420.181,30804,36384,43,9,12,0
450.189,28052,36384,29,9,58,0
480.193,30060,36384,82,9,10,0
510.202,29052,36384,219,9,87,0
540.235,27036,36384,25,9,13,0
570.242,30724,36384,25,9,26,0
600.248,28560,36384,24,9,7,0
630.255,27016,36384,37,9,15,0
660.262,29404,36384,31,9,28,0
690.266,28576,36384,110,9,72,0
720.275,27964,36384,34,9,12,0
750.284,28084,36384,36,9,10,0
780.321,29736,36384,41,9,8,0
810.332,29412,36384,61,9,10,0
840.336,29072,36384,64,9,48,0
870.340,38924,38924,216,9,73,0
900.352,27940,38400,22,9,5,0
930.356,27936,38400,56,9,11,0
960.365,29796,38400,215,9,108,0
990.380,28944,38400,36,9,11,0
1020.388,30216,38400,41,9,83,0
1050.408,29024,38400,21,9,11,0
1080.422,28872,38400,26,9,100,0
1110.440,28164,38400,26,9,58,0
1140.445,28296,38400,24,9,24,0
1170.456,32260,38400,232,9,16,0
1200.470,28320,38400,22,9,7,0
1230.476,29824,38400,83,9,180,0
1260.490,27672,38400,30,9,45,0
1290.492,27016,38400,23,9,0,0
1320.496,27548,38400,14,9,2,0
1350.507,30788,38400,170,9,81,0
1380.515,27036,38400,24,9,12,0
1410.520,27120,38400,25,9,10,0
1440.523,29308,38400,59,9,11,0
1470.536,29192,38400,60,9,64,0
1500.544,29964,38400,63,9,93,0
1530.558,27016,38400,64,9,117,0
1560.566,27016,38400,41,9,19,0
1590.575,29448,38400,22,9,91,0
1620.589,27776,38400,60,9,12,0
1650.599,28160,38400,34,9,11,0
1680.607,27548,38400,24,9,8,0
1710.611,28288,38400,44,9,12,0
1740.622,27348,38400,16,9,4,0
1770.629,28244,38400,64,9,8,0
1800.674,29456,38400,224,9,35,0
1830.687,28936,38400,27,9,51,0
1860.697,29812,38400,62,9,19,0
1890.710,27016,38400,39,9,97,0
1920.718,30476,38400,27,9,40,0
1950.727,31084,38400,88,9,16,0
1980.760,28004,38400,34,9,124,0
2010.788,27336,38400,25,9,12,0
2040.792,27624,38400,24,9,23,0
2070.798,32004,38400,45,9,10,0
2100.809,28476,38400,26,9,7,0
2130.814,27824,38400,23,9,15,0
2160.827,28508,38400,84,9,9,0
2190.832,27484,38400,26,9,85,0
2220.840,27024,38400,40,9,10,0
2250.849,27464,38400,31,9,56,0
2280.861,29032,38400,70,9,4,0
2310.869,28992,38400,23,9,22,0
2340.876,27816,38400,23,9,14,0
2370.879,28052,38400,220,9,287,0
2400.901,27536,38400,63,9,11,0
2430.938,28528,38400,90,9,16,0
2460.944,29556,38400,143,9,39,0
2490.965,29248,38400,29,9,10,0
2520.971,28912,38400,58,9,22,0
2550.975,28904,38400,49,9,11,0
2580.982,28232,38400,23,9,32,0
2610.992,27032,38400,64,9,21,0
2640.999,30876,38400,24,9,23,0
2671.077,27396,38400,22,9,31,0
2701.083,28312,38400,100,9,32,0
2731.095,30316,38400,61,9,15,0
2761.103,31084,38400,57,9,12,0
2791.107,27660,38400,27,9,14,0
2821.110,27480,38400,23,9,5,0
2851.128,27336,38400,25,9,12,0
2881.135,28720,38400,23,9,66,0
2911.143,27204,38400,32,9,17,0
2941.147,28056,38400,22,9,5,0
2971.154,28272,38400,21,9,108,0
3001.175,27104,38400,24,9,56,0
3031.189,27016,38400,43,9,10,0
3061.193,28508,38400,198,9,155,0
3091.205,27792,38400,26,9,134,0
3121.221,29952,38400,21,9,87,0
3151.228,29776,38400,27,9,24,0
3181.242,29796,38400,254,9,143,0
3211.262,27792,38400,23,9,12,0
3241.269,28096,38400,69,9,12,0
3271.276,29396,38400,160,9,143,0
3301.283,28412,38400,138,9,104,0
3331.287,31908,38400,239,9,16,0
3361.318,29684,38400,32,9,20,0
3391.332,27812,38400,25,9,7,0
3421.333,31424,38400,22,9,22,0
3451.344,28432,38400,37,9,13,0
3481.347,28424,38400,22,9,21,0
3511.355,28088,38400,65,9,35,0
3541.367,29600,38400,25,9,153,0
3571.380,33272,38400,90,9,11,0
3601.394,28520,38400,17,9,2,0
3631.400,29540,38400,20,9,6,0
3661.409,31724,38400,19,9,5,0
3691.417,28768,38400,24,9,30,0
3721.427,29260,38400,19,9,4,0
3751.438,30724,38400,64,9,123,0
3781.473,30276,38400,61,9,11,0
3811.500,28432,38400,86,9,54,0
3841.506,28500,38400,17,9,2,0
3871.508,28228,38400,12,9,0,0
3901.511,28104,38400,121,9,11,0
3931.531,29156,38400,27,9,87,0
3961.538,27700,38400,48,9,62,0
3991.545,28172,38400,27,9,32,0
4021.563,27376,38400,26,9,11,0
4051.570,27832,38400,23,9,18,0
4081.583,27328,38400,79,9,9,0
4111.591,27556,38400,25,9,10,0
4141.602,31480,38400,192,9,7,0
4171.628,28484,38400,192,9,16,0
4201.649,27328,38400,16,9,122,0
4231.684,28780,38400,22,9,10,0
4261.690,27656,38400,26,9,20,0
4291.695,28528,38400,21,9,11,0
4321.710,32236,38400,245,9,193,0
4351.731,28140,38400,21,9,92,0
4381.737,32492,39760,358,9,147,0
4411.753,28940,39760,75,9,53,0
4441.780,27468,39760,109,9,39,0
4471.788,27328,39760,68,9,27,0
4501.794,27656,39760,27,9,50,0
4531.799,27352,39760,22,9,34,0
4561.811,28448,39760,21,9,10,0
4591.820,28484,39760,45,9,13,0
4621.831,27812,39760,37,9,30,0
4651.856,31012,39760,25,9,42,0
4681.865,27328,39760,22,9,48,0
4711.868,29236,39760,56,9,74,0
4741.884,32980,39760,23,9,77,0
4771.895,28200,39760,24,9,18,0
4801.905,28688,39760,25,9,11,0
