t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7704,7704,11,10,,0
30.014,35620,41440,116,9,12,0
60.027,39092,41440,361,9,30,0
90.065,36512,41440,82,9,12,0
120.079,35648,41440,166,9,93,0
150.102,35520,41440,21,9,29,0
180.108,34500,41440,23,9,107,0
210.113,35036,41440,79,9,134,0
240.122,38256,41440,21,9,7,0
270.132,34808,41440,79,9,9,0
300.156,37668,41440,293,9,391,0
330.196,34300,41440,107,9,43,0
360.204,35920,41440,19,9,5,0
390.244,36024,41440,329,9,41,0
420.257,34300,41440,20,9,6,0
450.264,34884,41440,22,9,116,0
480.286,37828,41440,19,9,7,0
510.291,35996,41440,85,9,33,0
540.295,35780,41440,42,9,10,0
570.314,34580,41440,24,9,10,0
600.319,37832,41576,131,9,10,0
630.328,34524,41576,22,9,2,0
660.342,34332,41576,21,9,18,0
690.353,40448,41576,484,9,53,0
720.400,34684,42176,105,9,118,0
750.413,36516,42176,20,9,12,0
780.423,34684,42176,167,9,10,0
810.432,34780,42176,20,9,7,0
840.436,34900,42176,303,9,240,0
870.440,35052,42176,82,9,48,0
900.459,35892,42176,362,9,113,0
930.509,40712,42176,196,9,100,0
960.531,35440,42176,13,9,0,0
990.541,35540,42176,173,9,23,0
1020.548,34300,42176,21,9,13,0
1050.556,37200,42176,23,9,24,0
1080.560,37500,42176,179,9,63,0
1110.584,35456,42176,42,9,8,0
1140.593,35612,42176,212,9,14,0
1170.599,36532,42176,106,9,170,0
1200.614,34448,42176,22,9,45,0
1230.620,34300,42176,94,9,15,0
1260.628,36552,42176,40,9,51,0
1290.647,39620,42176,101,9,11,0
1320.657,35184,42176,106,9,13,0
1350.665,36156,42176,21,9,25,0
1380.670,38240,42176,26,9,33,0
1410.681,39256,42176,224,9,29,0
1440.690,41492,42176,45,9,16,0
1470.702,35016,42176,22,9,16,0
1500.711,34424,42176,28,9,18,0
1530.717,37776,42176,120,9,13,0
1560.727,34316,42176,21,9,133,0
1590.752,34856,42176,65,9,33,0
1620.762,34436,42176,26,9,53,0
1650.775,34620,42176,285,9,243,0
1680.796,35644,42176,105,9,92,0
1710.803,38992,42176,22,9,117,0
1740.814,34524,42176,140,9,126,0
1770.847,34556,42176,87,9,104,0
1800.853,35464,42176,69,9,8,0
1830.862,34300,42176,19,9,6,0
1860.868,37592,42176,129,9,13,0
1890.875,37540,42176,465,9,425,0
1920.885,37828,42176,186,9,32,0
1950.891,36800,42176,176,9,239,0
1980.912,35220,42176,166,9,27,0
2010.931,35512,42176,22,9,21,0
2040.949,34436,42176,17,9,4,0
2070.951,35080,42176,62,9,189,0
2100.971,36724,42176,14,9,0,0
2130.980,37156,42176,25,9,41,0
2160.996,36124,42176,22,9,11,0
2191.000,35292,42176,18,9,5,0
2221.002,35164,42176,16,9,3,0
2251.010,37136,43092,65,9,76,0
2281.024,34424,43108,23,9,15,0
2311.031,39200,43108,381,9,343,0
2341.043,37684,43108,22,9,11,0
2371.060,36648,43108,220,9,163,0
2401.074,35032,43108,20,9,71,0
2431.090,35432,43108,117,9,20,0
2461.098,34976,43108,26,9,5,0
2491.103,35716,43108,23,9,24,0
2521.112,37140,43108,21,9,8,0
2551.114,37352,43108,248,9,148,0
2581.126,37516,43108,19,9,46,0
2611.131,34924,43108,22,9,65,0
2641.151,34892,43108,22,9,60,0
2671.161,34724,43108,20,9,29,0
2701.173,36652,43108,18,9,8,0
2731.180,34300,43108,46,9,25,0
2761.185,34920,43108,48,9,6,0
2791.247,35460,43108,18,9,10,0
2821.250,35404,43108,94,9,32,0
2851.271,34300,43108,21,9,40,0
2881.292,34620,43108,21,9,12,0
2911.296,34300,43108,61,9,9,0
2941.312,34632,43108,22,9,36,0
2971.316,37416,43108,18,9,50,0
3001.327,34532,43108,23,9,13,0
3031.336,34468,43108,21,9,10,0
3061.347,34396,43108,106,9,19,0
3091.353,35880,43108,19,9,161,0
3121.380,35368,43108,23,9,10,0
3151.394,34300,43108,120,9,12,0
3181.409,36484,43108,38,9,12,0
3211.419,35264,43108,23,9,125,0
3241.430,34984,43108,86,9,12,0
3271.437,36828,43108,21,9,30,0
3301.439,34300,43108,21,9,62,0
3331.449,34400,43108,50,9,51,0
3361.456,35720,43108,31,9,13,0
3391.465,35144,43108,73,9,143,0
3421.495,34396,43108,19,9,47,0
3451.507,34680,43108,28,9,14,0
3481.512,38828,43108,49,9,98,0
3511.528,35276,43108,23,9,41,0
3541.534,35568,43108,137,9,72,0
3571.546,34300,43108,15,9,1,0
3601.552,35752,43108,223,9,86,0
3631.559,34372,43108,41,9,17,0
3661.572,37832,43108,19,9,4,0
3691.579,36624,43108,122,9,64,0
3721.604,35816,43108,36,9,30,0
3751.610,35488,43108,89,9,12,0
3781.613,34636,43108,21,9,11,0
3811.620,35392,43108,125,9,66,0
3841.625,36304,43108,270,9,8,0
3871.642,35908,43108,23,9,9,0
3901.656,34384,43108,19,9,3,0
3931.662,36908,43108,17,9,99,0
3961.695,35824,43108,22,9,10,0
3991.723,36168,43108,53,9,45,0
4021.729,36880,43108,314,9,310,0
