t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,9240,9240,128,10,148,0
30.017,18672,19732,114,9,52,0
60.027,19140,20404,18,9,5,0
90.033,23092,24172,112,9,52,0
120.043,25232,25724,114,9,52,0
150.054,26960,28148,112,9,52,0
180.059,28304,28908,114,9,52,0
210.061,28080,29000,113,9,52,0
240.071,26692,29348,115,9,52,0
270.074,26780,29348,113,9,52,0
300.082,27000,29348,113,9,52,0
330.088,27008,29348,114,9,52,0
360.097,28516,29348,114,9,52,0
390.104,29252,29880,114,9,52,0
420.108,27304,29900,113,9,52,0
450.115,30296,30544,114,9,52,0
480.131,30440,31268,113,9,52,0
510.137,29984,31360,113,9,52,0
540.150,29948,31628,112,9,52,0
570.154,30608,31628,111,9,52,0
600.157,30640,31628,115,9,52,0
630.165,30904,31780,113,9,52,0
660.177,30660,31780,115,9,52,0
690.180,31424,32576,112,9,52,0
720.188,32884,33500,112,9,52,0
750.196,32748,33644,115,9,52,0
780.200,33340,34252,114,9,52,0
810.211,33248,34480,114,9,52,0
840.223,33236,34480,114,9,52,0
870.228,32640,34480,113,9,52,0
900.236,33240,34480,113,9,52,0
930.243,32824,34480,17,9,4,0
960.249,32248,34480,113,9,52,0
990.257,32692,34480,114,9,52,0
1020.265,31668,34480,112,9,52,0
1050.268,31668,34480,113,9,52,0
1080.278,33320,34480,114,9,52,0
1110.290,33364,34480,115,9,52,0
1140.309,33984,34680,114,9,52,0
1170.311,34988,35228,114,9,52,0
1200.325,35196,35432,113,9,52,0
1230.334,35140,35456,111,9,52,0
1260.337,35624,36172,113,9,52,0
1290.340,35872,36576,113,9,52,0
1320.344,34980,36576,113,9,52,0
1350.353,34136,36576,113,9,52,0
1380.358,34136,36576,112,9,52,0
1410.370,34132,36576,113,9,52,0
1440.375,34560,36576,113,9,52,0
1470.390,34724,36576,114,9,52,0
1500.402,34232,36576,114,9,52,0
1530.414,34172,36576,112,9,52,0
1560.424,34764,36576,113,9,52,0
1590.426,34804,36576,112,9,52,0
1620.432,36076,36576,113,9,52,0
1650.447,36084,36576,114,9,52,0
1680.450,35676,36576,111,9,52,0
1710.458,35896,36740,115,9,52,0
1740.467,35668,36740,114,9,52,0
1770.478,35788,36740,113,9,52,0
1800.485,35800,37140,112,9,52,0
1830.489,35552,37140,114,9,52,0
1860.493,35560,37140,16,9,4,0
1890.503,35804,37140,115,9,52,0
1920.512,35624,37140,112,9,52,0
1950.516,35536,37140,114,9,52,0
1980.523,35624,37140,112,9,52,0
2010.538,36060,37140,113,9,52,0
2040.543,36264,37140,111,9,52,0
2070.552,36720,37140,115,9,52,0
