t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,8016,8016,11,9,0,0,0,0
30.009,32480,32528,24,9,12,4,0,0
60.021,30628,32528,23,9,12,0,0,0
90.038,32472,33964,25,9,12,0,0,0
120.047,32744,33964,21,9,10,0,0,0
150.051,32220,34136,21,9,8,4,0,0
180.062,32032,34136,21,9,9,4,0,0
210.092,33100,34136,21,9,9,2,0,0
240.099,31444,35036,23,9,10,0,0,0
270.120,33328,35036,19,9,8,0,0,0
300.137,31556,35036,22,9,9,4,0,0
330.145,31532,35036,24,9,13,4,0,0
360.164,32392,35036,21,9,10,0,0,0
390.174,32032,35036,24,9,12,0,0,0
420.192,31792,35036,24,9,11,0,0,0
450.221,31604,35036,23,9,12,0,0,0
480.247,31328,35036,23,9,9,0,0,0
510.257,32396,35036,20,9,9,0,0,0
540.266,31980,35036,24,9,12,4,0,0
570.288,31444,35036,27,9,14,0,0,0
600.292,32712,35036,21,9,9,0,0,0
630.316,32796,35036,24,9,12,0,0,0
660.333,32956,35036,20,9,9,4,0,0
690.350,32424,35036,20,9,9,0,0,0
720.356,32468,35036,24,9,12,0,0,0
750.369,33040,35036,24,9,11,0,0,0
780.385,33300,35036,20,9,8,4,0,0
810.393,31932,35036,23,9,11,4,0,0
840.399,32376,35036,22,9,11,0,0,0
870.410,31952,35036,25,9,13,0,0,0
900.423,32584,35036,23,9,12,4,0,0
930.437,33180,35036,21,9,9,0,0,0
960.454,32924,35036,22,9,11,4,0,0
990.468,33160,35036,22,9,9,0,0,0
1020.471,32052,35036,23,9,11,0,0,0
1050.479,32552,35036,20,9,7,0,0,0
1080.487,32912,35036,23,9,12,4,0,0
1110.501,32124,35036,23,9,12,4,0,0
1140.511,31520,35036,20,9,9,0,0,0
1170.523,31520,35036,23,9,8,4,0,0
1200.529,33264,35036,22,9,10,4,0,0
1230.544,32920,35036,22,9,9,4,0,0
1260.572,33308,35036,23,9,10,4,0,0
1290.591,32752,35036,24,9,12,4,0,0
1320.603,33328,35036,21,9,10,0,0,0
1350.617,32460,35036,21,9,10,4,0,0
1380.626,32080,35036,21,9,8,0,0,0
1410.644,33000,35036,24,9,11,4,0,0
1440.651,32360,35036,21,9,10,4,0,0
1470.656,32024,35036,24,9,12,0,0,0
1500.662,32236,35036,20,9,8,0,0,0
1530.672,32592,35036,25,9,12,0,0,0
1560.684,32700,35036,20,9,9,4,0,0
1590.691,31616,35036,18,9,7,4,0,0
1620.707,33528,35036,24,9,11,0,0,0
1650.717,32408,35036,20,9,8,0,0,0
1680.726,31496,35036,20,9,8,0,0,0
1710.743,32164,35036,21,9,10,0,0,0
1740.756,31640,35036,19,9,8,4,0,0
1770.770,32212,35036,23,9,12,0,0,0
1800.793,32020,35036,23,9,11,0,0,0
1830.804,32512,35036,22,9,10,0,0,0
1860.833,32748,35036,21,9,10,0,0,0
1890.844,32812,35036,21,9,9,4,0,0
1920.864,32516,35036,23,9,12,4,0,0
1950.871,31972,35036,22,9,10,0,0,0
