t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8272,8272,11,9,4,0,0
30.003,96852,96852,1105,9,2193,2109,0
60.046,142640,142640,1171,9,2317,5262,0
90.062,182856,182856,1229,9,2440,8510,0
120.084,196160,196160,1184,9,2345,12136,0
150.109,221284,221284,1307,9,2589,15551,0
180.123,240528,241068,1170,9,2323,19147,0
210.139,251140,251140,1291,9,2561,22711,0
240.168,253676,253676,1154,9,2287,26170,0
270.191,262356,262356,1076,9,2127,29349,0
300.210,268284,268284,1223,9,2422,32512,0
330.217,269856,269856,1044,9,2064,35694,0
360.231,269360,269452,1109,9,2195,38668,0
390.250,269512,271316,1121,9,2218,41916,0
420.264,272080,272080,1167,9,2309,45060,0
450.281,272932,272932,1336,9,2651,48217,0
480.289,275944,275944,1131,9,2241,51561,0
510.302,276300,276300,1245,9,2467,54766,0
540.324,280068,280068,1019,9,2015,58179,0
570.337,275712,279792,1199,9,2374,61311,0
600.348,275576,279792,1150,9,2278,64372,0
630.369,275568,279792,1185,9,2347,67580,0
660.380,276512,279792,1183,9,2343,70810,0
690.394,280092,280092,1273,9,2525,74246,0
720.419,279592,280012,1184,9,2349,77696,0
750.437,275180,280012,1197,9,2369,80979,0
780.450,277140,280012,1162,9,2303,84274,0
810.481,275716,280012,1200,9,2382,87447,0
840.505,274992,280012,1134,9,2249,90610,0
870.531,274776,280012,1203,9,2383,93833,0
900.550,276656,280012,1339,9,2657,97205,0
930.570,276948,280012,1087,9,2150,100677,0
960.577,275468,280012,1217,9,2410,103678,0
990.600,272884,280012,1183,9,2342,107022,0
1020.615,274984,280012,1160,9,2297,110354,0
1050.631,274992,280012,1245,9,2467,113366,0
1080.658,273668,280012,1063,9,2103,116766,0
1110.674,284136,284136,1289,9,2558,120007,0
1140.696,280704,283492,1124,9,2227,123179,0
1170.731,278332,283492,1250,9,2479,126512,0
1200.747,277204,283492,1107,9,2190,129715,0
1230.759,279804,283492,1209,9,2392,132790,0
1260.779,278452,283492,1199,9,2375,136215,0
1290.795,279596,283492,1229,9,2439,139547,0
1320.809,269800,283492,1224,9,2427,142888,0
1350.821,275992,283492,1383,9,2740,146297,0
1380.834,274976,283492,1332,9,2639,149860,0
1410.844,279028,283492,1151,9,2281,153374,0
1440.863,282656,285008,1147,9,2270,156532,0
1470.880,282636,285008,1304,9,2587,159811,0
1500.889,278472,285008,1261,9,2497,163270,0
1530.903,278332,285008,1255,9,2492,166509,0
1560.915,279180,285008,1213,9,2402,169801,0
1590.943,278964,285008,1182,9,2339,173033,0
1620.955,275744,285008,1350,9,2679,176306,0
1650.973,273204,285008,1195,9,2367,179764,0
1680.985,274208,285008,1096,9,2172,183067,0
1711.011,276600,285008,1223,9,2423,186305,0
1741.023,277392,285008,1107,9,2193,189823,0
1771.052,276764,285008,1259,9,2494,192738,0
1801.067,279628,285008,1096,9,2168,195909,0
1831.077,281880,285008,1420,9,2817,199030,0
1861.101,281048,285008,1132,9,2238,202494,0
1891.110,278016,285008,1256,9,2492,205601,0
1921.126,277884,285008,1192,9,2361,208983,0
1951.141,278968,285008,1056,9,2091,212306,0
1981.154,277636,285008,1210,9,2395,215350,0
2011.170,277636,285008,1251,9,2481,218521,0
2041.188,280600,285008,1078,9,2138,222109,0
2071.206,280348,285008,1375,9,2735,225101,0
2101.230,290920,290920,1306,9,2593,228601,0
2131.251,290308,290712,1279,9,2541,232024,0
2161.270,288372,290712,1295,9,2565,235446,0
2191.277,287096,290712,1470,9,2914,238816,0
2221.291,286688,290712,1259,9,2495,242558,0
2251.305,286656,290712,1198,9,2376,245678,0
2281.318,290164,290712,1197,9,2369,248780,0
2311.340,290160,290712,1357,9,2694,251933,0
2341.350,290924,290924,1233,9,2443,255285,0
2371.372,292044,292044,1341,9,2662,258657,0
2401.386,290896,292092,1234,9,2447,262149,0
2431.416,290880,292092,1175,9,2325,265190,0
2461.422,290512,292092,1312,9,2603,268204,0
2491.436,286392,292092,1447,9,2875,271615,0
2521.451,288528,292092,1358,9,2694,275192,0
2551.464,287464,292092,1272,9,2524,278448,0
2581.482,290236,292092,1291,9,2559,281735,0
2611.499,289080,292092,1279,9,2540,284910,0
2641.526,289288,292092,1263,9,2504,288158,0
2671.544,285292,292092,1216,9,2408,291314,0
2701.557,285808,292092,1401,9,2781,294634,0
2731.582,285604,292092,1428,9,2833,297879,0
2761.590,285588,292092,1327,9,2634,301388,0
2791.608,287156,292092,1197,9,2374,304897,0
2821.629,284816,292092,1297,9,2574,307964,0
2851.646,281388,292092,1217,9,2411,311012,0
2881.667,280160,292092,1294,9,2567,314295,0
2911.679,280160,292092,1223,9,2423,317357,0
2941.694,280160,292092,1157,9,2295,320506,0
2971.715,280160,292092,1326,9,2629,323571,0
3001.740,281748,292092,1264,9,2507,326767,0
3031.755,289452,292092,1403,9,2785,330062,0
3061.761,289944,292092,1236,9,2448,333393,0
3091.780,285564,292092,1251,9,2481,336435,0
3121.802,288836,292092,1258,9,2494,339620,0
3151.812,288796,292092,1406,9,2791,342661,0
3181.829,282792,292092,1266,9,2506,345978,0
3211.850,282332,292092,1284,9,2547,348987,0
3241.862,281040,292092,1287,9,2549,352024,0
3271.879,281040,292092,1180,9,2334,355297,0
3301.905,286484,292092,1381,9,2738,358334,0
3331.917,286992,292092,1313,9,2606,361859,0
3361.942,286160,292092,1186,9,2351,365068,0
3391.957,291360,292092,1289,9,2553,368227,0
3421.983,290372,292092,1356,9,2693,371283,0
3451.998,292588,292588,1357,9,2696,374581,0
3482.027,292456,292456,1455,9,2885,377775,0
3512.049,296388,296388,1631,9,3241,381267,0
3542.067,296492,296492,1359,9,2698,384877,0
3572.087,297324,297324,1252,9,2486,388081,0
3602.096,296584,296756,1202,9,2380,391019,0
3632.107,296576,296756,1415,9,2807,393960,0
3662.122,296560,296832,1359,9,2701,397157,0
3692.146,296548,296832,1272,9,2519,400493,0
3722.160,296020,296832,1377,9,2731,403872,0
3752.185,297596,297596,1209,9,2393,407165,0
3782.197,294920,297220,1312,9,2603,410312,0
3812.212,294920,297220,1257,9,2493,413556,0
3842.226,294920,297220,1478,9,2935,416766,0
3872.255,294920,297220,1450,9,2876,420190,0
3902.267,298516,298516,1585,9,3150,423672,0
3932.282,301524,301524,1701,9,3381,427483,0
3962.308,300984,303112,1256,9,2491,431248,0
3992.325,301824,303112,1325,9,2630,434402,0
4022.347,300992,303112,1618,9,3215,437708,0
4052.367,300992,303112,1264,9,2505,441507,0
4082.382,308380,308380,1308,9,2595,445127,0
4112.399,307692,307980,1149,9,2277,448839,0
4142.414,306724,307980,1068,9,2115,451902,0
4172.427,306340,307980,1095,9,2166,455157,0
4202.447,306340,307980,1104,9,2187,458282,0
4232.461,306340,307980,1161,9,2298,461426,0
4262.470,303460,307980,1029,9,2033,464665,0
4292.477,303460,307980,1078,9,2136,467703,0
4322.489,303460,307980,1171,9,2321,470855,0
4352.512,303460,307980,1115,9,2207,474157,0
4382.528,303460,307980,1023,9,2028,477190,0
4412.544,303460,307980,1103,9,2182,480394,0
4442.563,296660,307980,965,9,1907,483670,0
4472.581,298496,307980,1163,9,2302,486926,0
4502.595,298496,307980,1077,9,2131,490182,0
4532.611,298000,307980,1083,9,2141,493381,0
4562.619,297924,307980,1237,9,2454,496665,0
4592.640,297924,307980,1252,9,2479,500170,0
4622.669,297924,307980,1144,9,2263,503422,0
4652.684,301052,307980,1369,9,2719,506635,0
4682.696,298956,307980,1202,9,2382,510343,0
4712.711,298764,307980,1069,9,2115,513766,0
4742.735,295576,307980,1054,9,2087,516720,0
4772.767,294988,307980,1207,9,2390,520098,0
4802.782,294896,307980,1082,9,2144,523343,0
4832.796,294896,307980,1083,9,2143,526329,0
4862.817,294896,307980,1056,9,2090,529429,0
4892.841,294896,307980,1195,9,2367,532376,0
4922.872,298264,307980,1468,9,2913,535703,0
4952.887,300092,307980,1135,9,2246,539290,0
4982.907,304616,307980,1099,9,2177,542829,0
5012.920,303800,307980,994,9,1965,546114,0
5042.941,302940,307980,1102,9,2178,549432,0
5072.956,300644,307980,1135,9,2245,552571,0
5102.973,300292,307980,1163,9,2303,555638,0
5132.993,299232,307980,1258,9,2492,559023,0
5163.001,296720,307980,1056,9,2088,562459,0
5193.013,296720,307980,1122,9,2223,565705,0
5223.035,296720,307980,1128,9,2235,569268,0
5253.069,296720,307980,1333,9,2645,572595,0
5283.080,296720,307980,1087,9,2150,575949,0
5313.085,295608,307980,1217,9,2413,579204,0
5343.107,297780,307980,1206,9,2391,582375,0
5373.122,296900,307980,1234,9,2443,585699,0
5403.138,297832,307980,1285,9,2545,589130,0
5433.155,299064,307980,1116,9,2212,592641,0
5463.164,299064,307980,1038,9,2051,595808,0
5493.170,297108,307980,1124,9,2224,598849,0
5523.189,297104,307980,1307,9,2589,601965,0
5553.221,294896,307980,1143,9,2262,605265,0
5583.244,297916,307980,1218,9,2412,608478,0
5613.264,297912,307980,1180,9,2335,611776,0
5643.280,298444,307980,1186,9,2349,615060,0
5673.304,300436,307980,1422,9,2823,618532,0
5703.319,301916,307980,1122,9,2223,622224,0
5733.352,303528,307980,1423,9,2826,625579,0
5763.373,307120,307980,1133,9,2247,629204,0
5793.377,301752,307980,1014,9,2006,632326,0
5823.394,294896,307980,1267,9,2510,635410,0
5853.403,294896,307980,1140,9,2257,638670,0
5883.419,296752,307980,1287,9,2552,642040,0
5913.425,298840,307980,1279,9,2533,645310,0
5943.448,299236,307980,1268,9,2515,648551,0
5973.468,298612,307980,1245,9,2467,651751,0
6003.476,301368,307980,1261,9,2499,655043,0
6033.489,299280,307980,1222,9,2418,658269,0
6063.512,299268,307980,1171,9,2318,661508,0
6093.523,299988,307980,1388,9,2755,664745,0
6123.550,305300,307980,1332,9,2641,668307,0
6153.577,302092,307980,1259,9,2497,671803,0
6183.592,301620,307980,1228,9,2435,674922,0
6213.604,301616,307980,1196,9,2372,678035,0
6243.620,301616,307980,1327,9,2629,681219,0
6273.635,299716,307980,1318,9,2612,684477,0
6303.650,299716,307980,1278,9,2532,687690,0
6333.671,300408,307980,1085,9,2149,691122,0
6363.685,300276,307980,1270,9,2519,694111,0
6393.698,303740,307980,1546,9,3071,697642,0
6423.712,303044,307980,1302,9,2587,701250,0
6453.734,303040,307980,1265,9,2510,704424,0
6483.750,299716,307980,1324,9,2624,707880,0
6513.764,299716,307980,1268,9,2517,711239,0
6543.790,299716,307980,1230,9,2441,714450,0
6573.822,299716,307980,1306,9,2591,717781,0
6603.848,299716,307980,1445,9,2869,721180,0
6633.868,296696,307980,1172,9,2323,724733,0
6663.886,296696,307980,1224,9,2424,727827,0
6693.902,296696,307980,1300,9,2579,731161,0
6723.914,296696,307980,1307,9,2593,734532,0
6753.932,296696,307980,1170,9,2320,737907,0
6783.967,291780,307980,1101,9,2181,740891,0
6813.980,291780,307980,1373,9,2723,743869,0
6843.999,298868,307980,1491,9,2959,747337,0
6874.020,298604,307980,1366,9,2714,751062,0
6904.038,294828,307980,1384,9,2745,754525,0
6934.054,294828,307980,1243,9,2466,757801,0
6964.069,292680,307980,1490,9,2959,760930,0
6994.089,293108,307980,1201,9,2385,764587,0
7024.110,293920,307980,1396,9,2768,767683,0
7054.137,291640,307980,1225,9,2426,771110,0
7084.161,291316,307980,1111,9,2199,774205,0
7114.171,295608,307980,1289,9,2557,777254,0
7144.199,292136,307980,1400,9,2779,780431,0
7174.215,291808,307980,1367,9,2714,784127,0
7204.232,291596,307980,1293,9,2563,787460,0
7234.247,292604,307980,1298,9,2574,790773,0
7264.260,295440,307980,1254,9,2486,794018,0
7294.285,292444,307980,1287,9,2549,797081,0
