t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,8472,8472,11,10,,0
30.002,14180,14596,15,9,8,0
60.013,14224,14728,15,9,8,0
90.026,14292,14728,15,9,4,0
120.036,14312,14916,15,9,9,0
150.044,14544,15132,18,9,5,0
180.054,14468,15132,16,9,9,0
210.072,14408,15132,16,9,9,0
240.087,14688,15132,15,9,4,0
270.097,14512,15148,15,9,3,0
300.116,14852,15232,15,9,4,0
330.130,14820,15232,17,9,4,0
360.142,14316,15232,16,9,3,0
390.147,14512,15232,16,9,9,0
420.166,14616,15552,15,9,4,0
450.186,14788,15552,15,9,4,0
480.208,14532,15552,15,9,8,0
510.223,14528,15552,19,9,3,0
540.237,14580,15552,16,9,4,0
570.249,14532,15552,15,9,9,0
600.257,14712,15552,15,9,4,0
630.283,14688,15552,15,9,9,0
660.293,14896,15552,15,9,8,0
690.304,14468,15552,20,9,5,0
720.313,14388,15552,16,9,5,0
750.324,14460,15572,19,9,8,0
780.340,14624,15572,15,9,4,0
810.357,14448,15572,15,9,4,0
840.366,14408,15572,15,9,8,0
870.374,14884,15572,15,9,8,0
900.391,14564,15572,15,9,4,0
930.410,14656,15572,18,9,7,0
960.428,14564,15572,15,9,4,0
990.445,14596,15572,18,9,5,0
1020.453,14448,15572,15,9,5,0
1050.460,14408,15572,15,9,3,0
1080.465,14548,15572,17,9,6,0
1110.471,14972,15572,15,9,8,0
1140.481,14464,15572,19,9,5,0
1170.493,14752,15572,15,9,5,0
1200.512,14520,15572,15,9,4,0
1230.523,14552,15572,15,9,8,0
1260.539,14716,15572,17,9,9,0
1290.551,14896,15572,15,9,3,0
1320.568,15224,15572,15,9,5,0
1350.583,14728,15572,16,9,9,0
1380.595,14588,15572,15,9,8,0
1410.610,14580,15572,15,9,6,0
1440.621,14932,15572,16,9,12,0
1470.643,14888,15572,16,9,8,0
1500.654,15304,15572,16,9,4,0
1530.661,14884,15572,15,9,4,0
1560.670,15220,15572,16,9,6,0
1590.680,15064,15580,15,9,7,0
1620.696,14784,15580,15,9,8,0
1650.721,14764,15580,15,9,4,0
1680.733,14524,15580,15,9,9,0
1710.748,14596,15580,20,9,4,0
1740.754,14692,15580,15,9,4,0
1770.773,14780,15580,15,9,4,0
1800.799,14676,15580,17,9,3,0
1830.817,14488,15580,18,9,6,0
1860.825,14596,15580,15,9,4,0
1890.834,14504,15580,15,9,8,0
1920.850,14540,15580,15,9,8,0
1950.862,14484,15580,15,9,3,0
1980.876,14516,15580,15,9,8,0
2010.900,14476,15580,19,9,5,0
2040.909,14660,15580,15,9,8,0
2070.919,14864,15732,16,9,6,0
2100.935,14856,15732,15,9,9,0
2130.950,14700,15732,20,9,8,0
2160.957,14692,15732,15,9,4,0
2190.980,14628,15732,15,9,8,0
2220.991,14764,15732,16,9,8,0
2251.008,14712,15732,15,9,4,0
2281.036,14740,15732,15,9,8,0
2311.071,14756,15732,16,9,7,0
2341.088,14880,15732,15,9,5,0
2371.103,15396,15912,15,9,8,0
2401.119,14720,15912,15,9,8,0
2431.140,14504,15912,15,9,3,0
2461.162,14392,15912,15,9,4,0
2491.178,14988,15912,20,9,5,0
2521.187,14828,15912,17,9,9,0
2551.192,14512,15912,15,9,4,0
2581.207,14648,15912,15,9,4,0
2611.216,14976,15912,16,9,8,0
2641.226,15176,15912,15,9,7,0
2671.245,14820,15912,15,9,4,0
2701.252,14744,15912,15,9,7,0
2731.265,14880,15912,16,9,6,0
2761.274,15052,15912,15,9,4,0
2791.288,14736,15912,17,9,5,0
2821.313,15348,15912,15,9,4,0
2851.331,14620,15912,15,9,4,0
2881.348,14600,15912,15,9,10,0
2911.356,14508,15912,15,9,4,0
2941.364,14456,15912,22,9,4,0
2971.376,14640,15912,16,9,7,0
3001.386,14664,15912,15,9,8,0
3031.392,15256,15912,16,9,5,0
3061.404,14620,15912,15,9,4,0
3091.423,14492,15912,20,9,5,0
3121.426,14692,15912,15,9,8,0
3151.438,14712,15912,15,9,8,0
3181.454,14716,15912,15,9,4,0
3211.473,14568,15912,20,9,9,0
3241.479,14480,15912,15,9,4,0
3271.495,14376,15912,15,9,4,0
3301.514,14820,15912,15,9,7,0
3331.534,14520,15912,15,9,7,0
3361.546,14688,15912,15,9,4,0
3391.566,14756,15912,16,9,4,0
3421.583,14684,15912,15,9,8,0
3451.598,14472,15912,16,9,8,0
