t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7948,7948,11,9,0
30.005,24864,25076,11,9,0
60.014,27168,27168,11,9,0
90.019,26904,27436,11,9,0
120.028,26460,27516,11,9,0
150.036,26880,27836,11,9,0
180.049,27668,28112,11,9,0
210.066,26708,28448,11,9,0
240.070,27020,28448,11,9,0
270.075,27560,28960,11,9,0
300.084,27364,28960,11,9,0
330.091,28024,29352,11,9,0
360.105,27164,29352,11,9,0
390.113,27032,29352,11,9,0
420.117,27128,29352,11,9,0
450.126,27424,29352,11,9,0
480.147,27732,29352,11,9,0
510.158,28836,29352,11,9,0
540.164,27540,29352,11,9,0
570.167,28152,29352,11,9,0
600.172,27764,29352,11,9,0
630.175,27160,29352,11,9,0
660.178,28740,29352,11,9,0
690.196,28496,29352,11,9,0
720.200,28892,29352,11,9,0
750.216,30348,30392,11,9,0
780.223,29448,31760,11,9,0
810.234,28244,31760,11,9,0
840.241,28168,31760,11,9,0
870.260,28340,31760,11,9,0
900.266,28612,31760,11,9,0
930.273,28900,31760,11,9,0
960.289,28612,31760,11,9,0
990.298,29472,31760,11,9,0
1020.309,28884,31760,11,9,0
1050.318,29256,31760,11,9,0
1080.327,28656,31760,11,9,0
1110.330,28700,31760,11,9,0
1140.337,28776,31760,11,9,0
1170.341,28436,31760,11,9,0
1200.345,28792,31760,11,9,0
1230.353,28716,31760,11,9,0
1260.357,28708,31760,11,9,0
1290.366,28500,31760,11,9,0
1320.371,29448,31760,11,9,0
1350.382,28608,31760,11,9,0
1380.390,29460,31760,11,9,0
1410.401,29892,31760,11,9,0
1440.405,28780,31760,11,9,0
1470.412,30324,31760,11,9,0
1500.425,29724,31760,11,9,0
1530.435,30008,31760,11,9,0
1560.438,29352,31760,11,9,0
1590.446,28824,31760,11,9,0
1620.455,29600,31760,11,9,0
1650.460,30000,31760,11,9,0
1680.466,28620,31760,11,9,0
1710.472,29404,31760,11,9,0
1740.487,29348,31760,11,9,0
1770.499,29268,31760,11,9,0
1800.504,30008,31760,11,9,0
1830.507,30024,31760,11,9,0
1860.516,30000,31760,11,9,0
1890.524,29848,31760,11,9,0
1920.531,29880,31760,11,9,0
1950.535,28368,31760,11,9,0
1980.540,28900,31760,11,9,0
2010.554,28592,31760,11,9,0
2040.561,28796,31760,11,9,0
2070.565,28940,31760,11,9,0
2100.582,28660,31760,11,9,0
2130.589,28888,31760,11,9,0
2160.592,28940,31760,11,9,0
2190.599,29856,31760,11,9,0
2220.603,28976,31760,11,9,0
2250.609,28676,31760,11,9,0
2280.623,28120,31760,11,9,0
2310.626,28168,31760,11,9,0
2340.631,29000,31760,11,9,0
2370.638,28536,31760,11,9,0
2400.646,28616,31760,11,9,0
2430.653,28560,31760,11,9,0
2460.659,29304,31760,11,9,0
2490.666,28800,31760,11,9,0
2520.672,28800,31760,11,9,0
2550.689,29792,31760,11,9,0
2580.695,30080,31760,11,9,0
2610.702,30116,31760,11,9,0
2640.708,28368,31760,11,9,0
2670.722,28404,31760,11,9,0
2700.748,28328,31760,11,9,0
2730.753,28300,31760,11,9,0
2760.765,28480,31760,11,9,0
2790.773,28752,31760,11,9,0
2820.777,29620,31760,11,9,0
2850.780,28836,31760,11,9,0
2880.783,29200,31760,11,9,0
2910.786,28960,31760,11,9,0
2940.793,28876,31760,11,9,0
2970.799,28700,31760,11,9,0
3000.806,29376,31760,11,9,0
3030.809,28460,31760,11,9,0
3060.824,29356,31760,11,9,0
3090.842,29072,31760,11,9,0
3120.847,28452,31760,11,9,0
