t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7416,7416,11,10,0
30.018,24972,28272,43,9,0
60.023,27320,31604,38,9,0
90.038,24984,31604,43,9,0
120.043,27920,31604,41,9,0
150.055,24420,31604,43,9,0
180.059,25912,31604,41,9,0
210.069,26416,31604,43,9,0
240.077,25956,31604,43,9,0
270.083,25104,31604,41,9,0
300.094,26004,31604,43,9,0
330.100,24488,31604,41,9,0
360.111,26324,31604,41,9,0
390.125,27444,31604,43,9,0
420.131,25364,31604,40,9,0
450.135,26256,31604,43,9,0
480.142,26168,31604,37,9,0
510.148,25372,31604,39,9,0
540.156,24568,31604,43,9,0
570.162,24208,31604,43,9,0
600.176,26436,31604,41,9,0
630.186,24848,31604,41,9,0
660.193,29044,31604,43,9,0
690.203,29096,31604,43,9,0
720.210,28272,31604,43,9,0
750.225,27548,31604,38,9,0
780.244,26212,31604,43,9,0
810.257,23148,31604,39,9,0
840.260,26844,31604,39,9,0
870.271,26784,31604,39,9,0
900.274,26328,31604,37,9,0
930.283,26320,31604,41,9,0
960.294,25868,31604,39,9,0
990.298,26292,31604,41,9,0
1020.312,25852,31604,42,9,0
1050.316,25292,31604,43,9,0
1080.319,27148,31604,41,9,0
1110.326,25572,31604,41,9,0
1140.332,24452,31604,41,9,0
1170.350,29288,31604,41,9,0
1200.359,26788,31604,41,9,0
1230.371,25784,31604,43,9,0
1260.379,27236,31604,39,9,0
1290.402,27356,31604,41,9,0
1320.408,26716,31604,41,9,0
1350.415,26704,31604,43,9,0
1380.431,26644,31604,43,9,0
1410.435,27860,31604,41,9,0
1440.441,26764,31604,41,9,0
1470.450,27540,31604,42,9,0
1500.460,26552,31604,41,9,0
1530.467,25452,31604,41,9,0
1560.481,26744,31604,40,9,0
1590.488,26660,31604,43,9,0
1620.492,26588,31604,41,9,0
1650.499,26892,31604,43,9,0
1680.502,25316,31604,43,9,0
1710.511,24968,31604,41,9,0
1740.522,23228,31604,43,9,0
1770.533,28344,31604,43,9,0
1800.540,24412,31604,41,9,0
1830.548,23556,31604,43,9,0
1860.556,25888,31604,41,9,0
1890.571,26704,31604,43,9,0
1920.582,23864,31604,41,9,0
1950.595,25900,31604,43,9,0
1980.603,25200,31604,43,9,0
2010.607,24844,31604,43,9,0
2040.617,27300,31604,43,9,0
2070.620,27492,31604,43,9,0
2100.627,28720,31604,41,9,0
2130.638,24328,31604,43,9,0
2160.647,26932,31604,43,9,0
2190.651,23576,31816,43,9,0
2220.664,25500,31816,41,9,0
2250.684,25192,31816,43,9,0
2280.690,26600,31816,41,9,0
2310.695,26172,31816,41,9,0
2340.701,25436,31816,41,9,0
2370.711,26248,31816,39,9,0
2400.715,26564,31816,43,9,0
2430.722,26548,31816,43,9,0
2460.735,27096,31816,37,9,0
2490.741,26452,31816,43,9,0
2520.757,25700,31816,43,9,0
2550.772,26512,31816,41,9,0
2580.775,28020,31816,43,9,0
2610.788,26616,31816,41,9,0
2640.793,24504,31816,37,9,0
2670.804,26048,31816,43,9,0
2700.812,25184,31816,43,9,0
2730.819,26748,31816,41,9,0
2760.823,27444,31816,41,9,0
2790.829,26352,31816,43,9,0
2820.838,25824,31816,39,9,0
2850.844,26560,31816,43,9,0
2880.856,26932,31816,41,9,0
2910.863,27536,31816,43,9,0
2940.875,27728,31816,40,9,0
2970.890,27416,32984,41,9,0
3000.897,23888,32984,43,9,0
3030.911,26852,32984,39,9,0
3060.926,26260,32984,43,9,0
3090.933,26676,32984,41,9,0
3120.940,27880,32984,43,9,0
3150.944,27428,32984,43,9,0
3180.956,26380,32984,41,9,0
3210.963,26564,32984,42,9,0
3240.979,26708,32984,43,9,0
3270.985,27504,32984,41,9,0
3300.991,25980,32984,43,9,0
3330.999,26348,32984,41,9,0
3361.002,27140,32984,41,9,0
3391.010,26764,32984,41,9,0
3421.027,27844,32984,43,9,0
3451.032,25148,32984,41,9,0
3481.044,27848,33468,37,9,0
3511.050,28772,33468,43,9,0
3541.059,27788,33468,41,9,0
3571.077,29712,33468,41,9,0
3601.083,26796,33468,41,9,0
3631.090,27028,33468,41,9,0
3661.096,28104,33468,43,9,0
3691.102,26288,33468,43,9,0
3721.113,25316,33468,41,9,0
3751.123,29216,33468,39,9,0
3781.137,24064,33468,39,9,0
3811.156,25604,33468,40,9,0
3841.171,25020,33468,39,9,0
3871.180,25884,33468,43,9,0
3901.192,28352,33468,43,9,0
3931.201,26800,33468,43,9,0
3961.215,25812,33468,41,9,0
3991.219,23524,33468,43,9,0
4021.232,25756,33468,37,9,0
4051.237,29880,33468,41,9,0
4081.241,29196,33468,41,9,0
4111.253,28364,33468,43,9,0
4141.268,28348,33468,43,9,0
4171.277,28848,33468,39,9,0
4201.291,25304,33468,43,9,0
4231.296,24512,33468,41,9,0
4261.310,27440,33468,39,9,0
4291.319,27648,33468,39,9,0
4321.328,25740,33468,43,9,0
4351.339,26524,33468,39,9,0
4381.345,26168,33468,41,9,0
4411.347,24596,33468,41,9,0
4441.354,27016,33468,39,9,0
4471.358,27580,33468,41,9,0
4501.374,26428,33468,43,9,0
4531.379,27800,33468,43,9,0
4561.383,26284,33468,39,9,0
4591.395,26164,33468,43,9,0
4621.411,24808,33468,41,9,0
4651.421,26244,33468,43,9,0
4681.435,26920,33468,43,9,0
4711.443,26748,33468,39,9,0
4741.459,26848,33468,37,9,0
4771.468,26332,33468,41,9,0
4801.473,29884,33468,43,9,0
4831.478,26672,33468,41,9,0
4861.492,27348,33468,43,9,0
4891.498,26408,33468,41,9,0
4921.505,25840,33468,43,9,0
4951.513,23804,33468,43,9,0
4981.519,25832,33468,39,9,0
5011.524,25572,33468,43,9,0
5041.542,24440,33468,43,9,0
5071.549,25784,33468,41,9,0
5101.563,26916,33468,41,9,0
5131.574,26276,33468,43,9,0
5161.594,24224,33468,43,9,0
5191.602,26060,33468,41,9,0
5221.609,25936,33468,41,9,0
5251.615,27508,33468,37,9,0
5281.630,32592,33468,43,9,0
5311.641,27692,33468,41,9,0
5341.645,24608,33468,37,9,0
5371.660,24980,33468,43,9,0
5401.662,26376,33468,41,9,0
5431.668,27280,33468,41,9,0
5461.673,26684,33468,43,9,0
5491.680,25796,33468,43,9,0
5521.693,27736,33468,37,9,0
5551.703,29144,33468,41,9,0
5581.716,26496,33468,43,9,0
5611.722,26808,33468,41,9,0
5641.735,25996,33468,43,9,0
5671.738,26344,33468,37,9,0
5701.747,25368,33468,43,9,0
5731.767,28292,33468,41,9,0
5761.770,26768,33468,40,9,0
5791.779,26468,33468,41,9,0
5821.791,27808,33468,41,9,0
5851.803,27688,33468,39,9,0
5881.808,25552,33468,43,9,0
5911.815,26504,33468,43,9,0
5941.823,26192,33468,39,9,0
5971.832,26172,33468,43,9,0
6001.835,27412,33468,43,9,0
6031.838,24312,33468,35,9,0
6061.843,25544,33468,43,9,0
6091.858,26296,33468,41,9,0
6121.866,25740,33468,41,9,0
6151.888,26160,33468,43,9,0
6181.899,25932,33468,41,9,0
6211.914,26316,33468,43,9,0
6241.921,27060,33468,41,9,0
6271.929,25060,33468,40,9,0
6301.951,26132,33468,43,9,0
6331.957,24768,33468,39,9,0
6361.966,26712,33468,41,9,0
6391.972,24892,33468,41,9,0
6421.991,27212,33468,41,9,0
6452.006,26424,33468,41,9,0
6482.026,26428,33468,43,9,0
6512.032,26804,33468,43,9,0
6542.036,26760,33468,43,9,0
6572.054,25340,33468,43,9,0
6602.059,24700,33468,37,9,0
6632.072,28148,33468,43,9,0
6662.075,26228,33468,41,9,0
6692.093,25620,33468,43,9,0
6722.102,24764,33468,43,9,0
6752.111,26612,33468,43,9,0
6782.118,28560,33468,43,9,0
6812.129,27880,33468,39,9,0
6842.137,26800,33468,43,9,0
6872.151,26372,33468,41,9,0
6902.156,25804,33468,39,9,0
6932.163,25544,33468,39,9,0
6962.174,26384,33468,41,9,0
6992.183,26032,33468,41,9,0
7022.194,27676,33468,43,9,0
7052.204,28108,33468,41,9,0
7082.207,27876,33468,41,9,0
7112.223,25800,33468,41,9,0
7142.227,27864,33468,41,9,0
7172.232,27620,33468,41,9,0
7202.242,26404,33468,43,9,0
7232.246,24564,33468,43,9,0
7262.253,26812,33468,39,9,0
7292.267,24788,33468,40,9,0
7322.277,25952,33468,41,9,0
