t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8512,8512,11,10,0
30.004,29012,32260,43,9,0
60.006,30908,32804,42,9,0
90.011,33264,34028,43,9,0
120.016,34080,36440,42,9,0
150.023,35000,37944,43,9,0
180.030,36688,38876,43,9,0
210.057,39180,42248,42,9,0
240.067,40184,43556,42,9,0
270.078,40288,43556,41,9,0
300.088,37472,43556,42,9,0
330.095,39728,43556,41,9,0
360.100,39192,43556,43,9,0
390.110,39848,43556,43,9,0
420.123,39836,43556,42,9,0
450.131,42308,43568,43,9,0
480.143,41620,44164,41,9,0
510.149,44232,47732,42,9,0
540.153,42292,47732,40,9,0
570.156,40532,47732,43,9,0
600.165,41088,47732,40,9,0
630.176,38836,47732,43,9,0
660.190,38636,47732,43,9,0
690.199,40572,47732,43,9,0
720.208,39876,47732,43,9,0
750.212,43284,47732,43,9,0
780.215,39628,47732,39,9,0
810.219,40716,47732,43,9,0
840.222,40260,47732,41,9,0
870.227,40492,47732,43,9,0
900.236,40312,47732,43,9,0
930.240,41272,47732,43,9,0
960.246,41024,47732,43,9,0
990.252,43680,47732,43,9,0
1020.279,44828,47732,42,9,0
1050.295,44268,47732,42,9,0
1080.300,42528,47732,40,9,0
1110.305,44920,47732,41,9,0
1140.324,41112,47732,38,9,0
1170.330,43376,47732,43,9,0
1200.336,44680,47732,38,9,0
1230.343,42488,47732,43,9,0
1260.349,41648,47732,40,9,0
1290.359,43776,47732,43,9,0
1320.360,44256,47732,43,9,0
1350.364,45256,47732,42,9,0
1380.379,44856,47732,38,9,0
1410.381,43432,48060,41,9,0
1440.386,42836,48060,40,9,0
1470.391,42276,48060,42,9,0
1500.410,42748,48060,41,9,0
1530.414,47564,49108,43,9,0
1560.417,47220,49108,40,9,0
1590.422,44620,49108,43,9,0
1620.431,44124,49108,41,9,0
1650.435,44280,49108,42,9,0
1680.446,43480,49108,42,9,0
1710.461,44384,49108,42,9,0
1740.469,41288,49108,43,9,0
1770.474,40072,49108,43,9,0
1800.479,38960,49108,43,9,0
1830.483,43912,49108,43,9,0
1860.502,43696,49108,43,9,0
1890.514,40368,49108,43,9,0
1920.521,41624,49108,40,9,0
1950.544,39744,49108,43,9,0
1980.559,39408,49108,41,9,0
2010.564,40752,49108,43,9,0
2040.569,39732,49108,41,9,0
2070.579,41040,49108,43,9,0
2100.589,41200,49108,43,9,0
2130.598,42120,49108,43,9,0
2160.605,43604,49108,40,9,0
2190.612,41832,49108,42,9,0
2220.617,42640,49108,40,9,0
2250.624,43724,49108,43,9,0
2280.632,42300,49108,41,9,0
2310.645,41512,49108,43,9,0
2340.664,41472,49108,38,9,0
2370.684,41692,49108,42,9,0
2400.695,42020,49108,42,9,0
2430.699,44672,49108,43,9,0
2460.712,44680,49108,42,9,0
2490.722,46428,49108,43,9,0
2520.724,46100,49108,43,9,0
2550.729,47652,49108,43,9,0
2580.739,45032,49108,41,9,0
2610.745,46872,49108,41,9,0
2640.758,46216,49108,43,9,0
2670.762,48216,49108,43,9,0
2700.768,46872,49108,41,9,0
2730.788,46484,49108,42,9,0
2760.795,43264,49108,42,9,0
2790.799,43752,49108,43,9,0
2820.807,43912,49108,41,9,0
2850.813,43160,49108,43,9,0
2880.819,45188,49108,43,9,0
2910.832,45412,49108,42,9,0
2940.835,43964,49108,43,9,0
2970.838,43060,49108,42,9,0
3000.844,42796,49108,43,9,0
3030.865,44528,49108,42,9,0
3060.876,44572,49108,43,9,0
3090.881,45596,49108,43,9,0
3120.887,43876,49108,42,9,0
3150.891,45272,49108,43,9,0
3180.898,44424,49108,43,9,0
3210.903,44096,49108,43,9,0
3240.907,43432,49108,43,9,0
3270.919,43444,49108,43,9,0
3300.921,43276,49108,42,9,0
3330.931,45728,49108,40,9,0
3360.940,45616,49108,43,9,0
3390.943,46664,49108,43,9,0
3420.946,45584,49108,42,9,0
3450.954,45104,49108,42,9,0
3480.959,43696,49108,43,9,0
3510.974,43384,49108,43,9,0
3540.977,42100,49108,43,9,0
3570.980,43712,49108,42,9,0
3600.986,42884,49108,40,9,0
3630.996,44172,49108,43,9,0
3661.004,42212,49108,40,9,0
3691.015,43140,49108,43,9,0
3721.018,40636,49108,43,9,0
3751.027,42820,49108,43,9,0
3781.042,42920,49108,43,9,0
3811.058,43916,49108,43,9,0
3841.061,42692,49108,42,9,0
3871.070,43516,49108,43,9,0
3901.076,43156,49108,37,9,0
3931.086,43268,49108,43,9,0
3961.106,44532,49108,43,9,0
3991.109,44060,49108,43,9,0
4021.117,43740,49108,41,9,0
4051.131,43636,49108,43,9,0
4081.137,43148,49108,42,9,0
4111.142,44292,49108,43,9,0
4141.144,42116,49108,42,9,0
4171.152,43804,49108,43,9,0
4201.157,41508,49108,43,9,0
4231.174,44420,49108,43,9,0
4261.177,44248,49108,43,9,0
4291.183,45156,49108,43,9,0
4321.195,43108,49108,43,9,0
4351.208,45376,49108,43,9,0
4381.213,42048,49108,43,9,0
4411.221,42788,49108,42,9,0
4441.241,41716,49108,43,9,0
4471.248,43432,49108,42,9,0
4501.255,44404,49108,43,9,0
4531.266,45028,49108,43,9,0
4561.269,45156,49108,43,9,0
4591.275,45468,49108,42,9,0
4621.280,45060,49108,43,9,0
4651.287,46868,49108,39,9,0
4681.302,46244,49108,42,9,0
4711.307,44488,49108,43,9,0
4741.313,45140,49108,41,9,0
4771.320,44924,49108,43,9,0
4801.324,46124,49108,43,9,0
4831.327,46676,49108,43,9,0
4861.334,46992,49108,43,9,0
4891.347,47628,49108,41,9,0
4921.356,45548,49108,42,9,0
4951.360,45148,49108,43,9,0
4981.372,45880,49108,42,9,0
5011.381,44916,49108,42,9,0
5041.389,45772,49108,42,9,0
5071.395,46340,49108,43,9,0
5101.398,46092,49108,43,9,0
5131.404,46460,49108,43,9,0
5161.408,44732,49108,42,9,0
5191.417,45228,49108,43,9,0
5221.418,43888,49108,43,9,0
5251.434,45544,49108,43,9,0
5281.441,44352,49108,42,9,0
5311.450,45384,49108,43,9,0
5341.456,45336,49108,43,9,0
5371.462,44652,49108,43,9,0
5401.474,42756,49108,42,9,0
5431.494,44272,49108,42,9,0
