t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7908,7908,11,10,0
30.004,37288,37868,21,9,0
60.013,39048,40304,24,9,0
90.031,38968,40976,25,9,0
120.045,40984,41808,27,9,0
150.064,42296,42296,26,9,0
180.074,40632,42432,20,9,0
210.080,41844,42980,24,9,0
240.088,41740,43480,19,9,0
270.101,41920,43672,27,9,0
300.111,41692,43672,26,9,0
330.128,41908,44416,22,9,0
360.134,43460,45300,23,9,0
390.143,43092,45300,23,9,0
420.151,43396,45300,20,9,0
450.155,43640,45300,24,9,0
480.164,44500,45300,27,9,0
510.171,41908,45300,19,9,0
540.180,42928,45300,20,9,0
570.185,41716,45300,19,9,0
600.188,42108,45300,25,9,0
630.199,41676,45300,25,9,0
660.207,42716,45300,26,9,0
690.215,43044,45300,26,9,0
720.219,41792,45300,20,9,0
750.227,41984,45300,27,9,0
780.241,41948,45300,19,9,0
810.250,42104,45300,27,9,0
840.254,42340,45300,19,9,0
870.262,41880,45300,19,9,0
900.270,43284,45364,19,9,0
930.275,43164,45364,21,9,0
960.280,43092,45364,23,9,0
990.291,43100,45364,19,9,0
1020.296,42496,45364,19,9,0
1050.310,42800,45364,20,9,0
1080.317,43476,45364,27,9,0
1110.330,42532,45364,27,9,0
1140.335,43660,45364,26,9,0
1170.339,43988,45364,19,9,0
1200.346,43764,45364,19,9,0
1230.370,45140,45364,26,9,0
1260.377,44948,46404,20,9,0
1290.401,43876,46404,23,9,0
1320.404,43616,46404,21,9,0
1350.412,43980,46404,19,9,0
1380.417,43852,46404,22,9,0
1410.419,43476,46404,19,9,0
1440.435,43092,46404,20,9,0
1470.440,42992,46404,25,9,0
1500.451,42736,46404,25,9,0
1530.452,42560,46404,27,9,0
1560.466,43616,46404,27,9,0
1590.469,42880,46404,20,9,0
1620.478,42852,46404,19,9,0
1650.486,42992,46404,19,9,0
1680.498,42908,46404,25,9,0
1710.500,43504,46404,19,9,0
1740.506,43376,46404,19,9,0
1770.507,43440,46404,20,9,0
1800.511,43568,46404,19,9,0
1830.517,43684,46404,19,9,0
1860.526,43568,46404,20,9,0
1890.531,43628,46404,24,9,0
1920.551,42944,46404,27,9,0
1950.558,43348,46404,23,9,0
1980.561,43652,46404,26,9,0
2010.564,43560,46404,27,9,0
2040.580,43556,46404,19,9,0
2070.590,44056,46404,19,9,0
2100.593,44116,46404,23,9,0
2130.607,44676,46404,26,9,0
2160.615,43544,46404,26,9,0
2190.620,44420,46404,24,9,0
2220.626,44164,46404,20,9,0
2250.631,43556,46404,27,9,0
2280.635,42992,46404,26,9,0
2310.650,42628,46404,24,9,0
2340.657,43920,46404,19,9,0
2370.660,44288,46404,24,9,0
2400.667,44140,46404,24,9,0
2430.675,42624,46404,25,9,0
2460.679,44056,46404,19,9,0
2490.699,44656,46404,27,9,0
2520.705,43440,46404,26,9,0
2550.707,42944,46404,24,9,0
2580.726,44348,46776,26,9,0
2610.733,44172,46776,21,9,0
2640.743,42624,46776,20,9,0
2670.744,43732,46776,19,9,0
2700.748,43988,46776,19,9,0
2730.753,44228,46776,27,9,0
2760.769,42740,46776,19,9,0
2790.795,42668,46776,24,9,0
2820.800,41676,46776,21,9,0
2850.804,42404,46776,23,9,0
2880.811,42848,46776,27,9,0
2910.817,43896,46776,19,9,0
2940.822,44388,46776,25,9,0
2970.830,43992,46868,24,9,0
3000.837,41692,46868,19,9,0
3030.861,41920,46868,19,9,0
3060.874,42576,46868,19,9,0
3090.878,42332,46868,24,9,0
3120.883,42012,46868,26,9,0
3150.887,44896,46868,27,9,0
3180.897,44060,46868,25,9,0
3210.910,44060,46868,20,9,0
3240.917,41660,46868,21,9,0
3270.925,41884,46868,20,9,0
3300.936,42956,46868,19,9,0
3330.943,42380,46868,25,9,0
3360.950,43104,46868,27,9,0
3390.956,41840,46868,20,9,0
3420.969,41756,46868,19,9,0
3450.973,42140,46868,24,9,0
3480.977,41892,46868,21,9,0
3510.989,41628,46868,19,9,0
3540.990,42276,46868,21,9,0
3571.009,42032,46868,23,9,0
3601.036,43560,46868,27,9,0
3631.050,42024,46868,25,9,0
3661.064,41564,46868,19,9,0
3691.066,41932,46868,27,9,0
3721.074,41856,46868,23,9,0
3751.082,43260,46868,20,9,0
3781.091,43592,46868,19,9,0
3811.101,43448,46868,19,9,0
