t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7904,7904,11,10,0
30.019,28280,28712,12,9,0
60.021,29728,30112,12,9,0
90.023,29272,30112,12,9,0
120.031,29476,30112,12,9,0
150.040,30320,30428,12,9,0
180.042,30480,31312,12,9,0
210.049,29776,31312,12,9,0
240.060,30316,31312,12,9,0
270.072,30260,31312,12,9,0
300.075,30980,31420,12,9,0
330.081,30280,31420,12,9,0
360.092,30372,31420,12,9,0
390.103,30636,31592,12,9,0
420.116,29968,31656,12,9,0
450.131,30352,31656,12,9,0
480.137,29716,31656,12,9,0
510.144,30344,31736,12,9,0
540.153,31252,31736,12,9,0
570.159,30376,31736,12,9,0
600.176,29584,31736,12,9,0
630.187,30040,31736,12,9,0
660.198,29732,31736,12,9,0
690.204,29724,31736,12,9,0
720.208,30128,31736,12,9,0
750.213,31156,31736,12,9,0
780.222,31648,32480,12,9,0
810.224,31892,32588,12,9,0
840.230,31848,32588,12,9,0
870.244,32396,32876,12,9,0
900.255,31932,32876,12,9,0
930.259,32528,32876,12,9,0
960.269,31268,32876,12,9,0
990.283,31736,32876,12,9,0
1020.288,30828,32876,12,9,0
1050.296,31300,32876,12,9,0
1080.311,33260,33468,12,9,0
1110.323,32668,33468,12,9,0
1140.327,32232,33468,12,9,0
1170.333,31952,33468,12,9,0
1200.342,31992,33468,12,9,0
1230.360,31784,33468,12,9,0
1260.365,32264,33468,12,9,0
1290.368,32068,33468,12,9,0
1320.380,32860,33468,12,9,0
1350.389,32156,33468,12,9,0
1380.396,31720,33468,12,9,0
1410.404,32560,33468,12,9,0
1440.408,31768,33468,12,9,0
1470.415,32276,33468,12,9,0
1500.428,32380,33468,12,9,0
1530.439,32000,33468,12,9,0
1560.444,31904,33468,12,9,0
1590.456,31716,33468,12,9,0
1620.466,31592,33468,12,9,0
1650.476,31784,33468,12,9,0
1680.485,31076,33468,12,9,0
1710.496,31636,33468,12,9,0
1740.504,31212,33468,12,9,0
1770.518,31068,33468,12,9,0
1800.524,31376,33468,12,9,0
1830.531,31636,33468,12,9,0
1860.538,31608,33468,12,9,0
1890.551,31060,33468,12,9,0
1920.556,31508,33468,12,9,0
1950.560,32068,33468,12,9,0
1980.563,31664,33468,13,9,0
2010.572,31812,33468,12,9,0
2040.580,31260,33468,12,9,0
2070.588,31768,33468,12,9,0
2100.600,31024,33468,12,9,0
2130.605,31572,33468,12,9,0
2160.614,31528,33468,12,9,0
2190.622,31456,33468,12,9,0
2220.628,31580,33468,12,9,0
2250.635,31404,33468,12,9,0
2280.642,31060,33468,12,9,0
2310.656,31888,33468,12,9,0
2340.669,30992,33468,12,9,0
2370.687,30872,33468,12,9,0
2400.693,31676,33468,12,9,0
2430.701,31620,33468,12,9,0
2460.711,31216,33468,12,9,0
2490.717,30780,33468,12,9,0
2520.728,30836,33468,12,9,0
2550.733,31500,33468,12,9,0
2580.740,30540,33468,12,9,0
2610.756,30612,33468,12,9,0
2640.760,31132,33468,12,9,0
2670.772,30560,33468,12,9,0
2700.784,30432,33468,12,9,0
2730.796,30836,33468,12,9,0
2760.808,30384,33468,12,9,0
2790.816,30684,33468,12,9,0
2820.824,31012,33468,12,9,0
2850.837,30452,33468,12,9,0
2880.845,31196,33468,12,9,0
2910.851,30448,33468,12,9,0
2940.879,31268,33468,12,9,0
2970.889,32008,33468,12,9,0
3000.893,31788,33468,12,9,0
3030.901,30556,33468,12,9,0
3060.910,31020,33468,12,9,0
3090.923,30596,33468,12,9,0
3120.926,30896,33468,12,9,0
3150.931,30464,33468,12,9,0
3180.939,30444,33468,12,9,0
3210.949,30444,33468,12,9,0
3240.963,31072,33468,12,9,0
3270.971,30796,33468,12,9,0
3300.983,31360,33468,12,9,0
3330.992,31048,33468,12,9,0
3361.001,30380,33468,12,9,0
3391.009,31016,33468,12,9,0
3421.024,30228,33468,12,9,0
3451.036,31152,33468,12,9,0
3481.041,30492,33468,12,9,0
3511.046,30188,33468,12,9,0
3541.059,30596,33468,12,9,0
