t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7636,7636,11,10,,0
15.003,18512,18640,115,9,52,0
30.005,18620,20488,112,9,53,0
45.006,20412,21208,113,9,52,0
60.008,21380,22984,68,9,30,0
75.009,23324,23792,113,9,52,0
90.011,23380,24112,114,9,52,0
105.013,23188,25452,114,9,52,0
120.015,23228,25452,114,9,52,0
135.017,24388,25452,114,9,52,0
150.019,25296,25572,114,9,52,0
165.020,24232,25572,114,9,52,0
180.022,24428,25572,114,9,51,0
195.024,24404,25572,113,9,52,0
210.025,24412,25572,112,9,52,0
225.028,24420,25572,114,9,52,0
240.030,24688,25572,114,9,52,0
255.033,24616,25572,113,9,52,0
270.034,24660,25576,112,9,52,0
285.037,24644,25576,115,9,52,0
300.039,24768,25576,114,9,52,0
315.041,24304,25576,112,9,52,0
330.042,24448,26084,115,9,52,0
345.044,24360,26084,112,9,52,0
360.045,24340,26084,115,9,52,0
375.047,24120,26084,113,9,51,0
390.049,25000,26084,114,9,52,0
405.050,24964,26084,113,9,52,0
420.051,24744,26084,115,9,52,0
435.052,24120,26084,114,9,52,0
450.052,24120,26084,114,9,53,0
465.055,24856,26084,113,9,52,0
480.056,24648,26084,113,9,52,0
495.057,24136,26084,16,9,4,0
510.059,24240,26084,113,9,52,0
525.061,24372,26124,114,9,52,0
540.063,24308,26124,113,9,50,0
555.064,24480,26124,113,9,52,0
570.066,24696,26124,113,9,52,0
585.067,25144,26124,114,9,52,0
600.068,25316,26148,114,9,52,0
615.071,25268,26148,114,9,52,0
630.073,25844,26148,112,9,52,0
645.075,25852,26172,112,9,52,0
660.077,25896,26172,114,9,52,0
675.079,26152,26380,114,9,52,0
690.080,25796,26380,113,9,52,0
705.082,25800,26380,112,9,52,0
720.084,25844,26380,112,9,52,0
735.086,25848,26380,114,9,52,0
750.087,25684,26380,114,9,52,0
765.088,25684,26500,114,9,52,0
780.090,25736,26500,115,9,52,0
795.090,25660,26500,113,9,52,0
810.092,24988,26760,114,9,52,0
825.094,25284,26760,114,9,53,0
840.094,25568,26760,115,9,52,0
855.097,26196,27484,114,9,52,0
870.099,24988,27484,113,9,52,0
885.101,24988,27484,112,9,52,0
900.103,24988,27484,115,9,52,0
915.105,24988,27484,114,9,52,0
930.107,24996,27484,17,9,4,0
945.108,26260,27484,112,9,52,0
960.110,26252,27484,113,9,52,0
975.112,26272,27484,113,9,54,0
990.114,26264,27484,113,9,52,0
1005.115,25732,27484,114,9,52,0
1020.117,25776,27484,113,9,52,0
1035.119,25776,27484,113,9,51,0
1050.120,26028,27484,114,9,52,0
1065.121,25672,27484,114,9,52,0
1080.124,26448,27484,114,9,52,0
1095.126,26516,27484,115,9,52,0
1110.126,25672,27484,114,9,52,0
1125.128,25604,27484,115,9,52,0
1140.129,25804,27484,114,9,52,0
1155.130,25596,27484,113,9,52,0
1170.131,25932,27484,113,9,52,0
1185.131,25792,27484,113,9,52,0
1200.133,25792,27484,115,9,53,0
1215.134,25996,27484,114,9,52,0
1230.136,25964,27484,115,9,52,0
1245.137,25660,27484,113,9,52,0
1260.139,25692,27484,113,9,52,0
1275.140,25692,27484,113,9,52,0
1290.141,25660,27484,115,9,52,0
1305.143,25584,27484,113,9,52,0
1320.144,25584,27484,115,9,52,0
1335.147,25648,27484,113,9,52,0
1350.149,25832,27484,115,9,52,0
1365.150,25524,27484,112,9,52,0
1380.152,26152,27484,114,9,52,0
1395.154,25852,27484,113,9,52,0
1410.156,25524,27484,115,9,52,0
1425.158,25524,27484,18,9,4,0
1440.159,25756,27484,115,9,52,0
1455.161,25876,27484,113,9,53,0
1470.163,25900,27484,115,9,51,0
1485.164,25880,27484,114,9,52,0
1500.168,26932,27484,114,9,52,0
1515.171,26720,27484,114,9,52,0
1530.173,26724,27484,115,9,52,0
1545.174,26724,27484,113,9,52,0
1560.174,27612,27736,112,9,52,0
1575.176,27628,27892,112,9,52,0
1590.178,27688,27892,113,9,52,0
1605.180,27916,28284,115,9,52,0
1620.182,27552,28284,115,9,52,0
1635.182,27564,28284,114,9,52,0
1650.184,27564,28284,114,9,52,0
1665.185,27564,28284,113,9,52,0
1680.187,25840,28284,113,9,52,0
1695.189,25844,28284,114,9,52,0
1710.190,25840,28284,115,9,52,0
1725.192,25840,28284,113,9,52,0
1740.193,25516,28284,113,9,52,0
1755.194,25576,28284,114,9,52,0
1770.196,25532,28284,113,9,52,0
1785.197,25516,28284,115,9,52,0
1800.002,25516,28284,113,9,52,0
