t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7972,7972,11,10,0
12.001,21552,21552,12,9,0
24.002,22316,22316,12,9,0
36.004,22964,22964,12,9,0
48.005,22968,22968,12,9,0
60.006,22612,22956,12,9,0
72.007,23268,23268,12,9,0
84.008,22844,23296,12,9,0
96.009,22632,23296,12,9,0
108.010,23424,23424,12,9,0
120.012,22752,23296,12,9,0
132.014,23000,23296,12,9,0
144.015,23384,23384,12,9,0
156.016,23192,23296,12,9,0
168.017,22824,23296,12,9,0
180.019,22740,23296,12,9,0
192.020,22704,23296,12,9,0
204.022,23040,23296,12,9,0
216.023,23112,23296,12,9,0
228.024,23268,23296,12,9,0
240.025,23392,23444,12,9,0
252.026,23240,23444,12,9,0
264.027,23552,23640,12,9,0
276.029,22732,23640,12,9,0
288.030,22804,23640,12,9,0
300.031,22324,23640,12,9,0
312.032,22768,23640,12,9,0
324.033,22876,23640,12,9,0
336.035,22824,23640,12,9,0
348.037,23096,23640,12,9,0
360.038,22624,23640,12,9,0
372.039,22892,23640,12,9,0
384.042,22576,23640,12,9,0
396.044,22768,23640,12,9,0
408.045,22804,23640,12,9,0
420.046,23740,23740,12,9,0
432.047,23448,23640,12,9,0
444.048,23252,23640,12,9,0
456.049,22972,23672,12,9,0
468.050,23840,23840,12,9,0
480.051,23116,23744,12,9,0
492.052,23408,23744,12,9,0
504.054,23800,24024,12,9,0
516.057,23500,24024,12,9,0
528.058,23808,24024,12,9,0
540.059,22860,24024,12,9,0
552.060,22932,24024,12,9,0
564.063,23144,24024,12,9,0
576.064,23472,24024,12,9,0
588.065,24004,24024,12,9,0
600.067,23556,24024,12,9,0
612.068,23204,24024,12,9,0
624.069,23616,24024,12,9,0
636.070,23144,24024,12,9,0
648.071,23232,24024,12,9,0
660.072,22884,24024,12,9,0
672.075,23084,24024,12,9,0
684.076,23448,24024,12,9,0
696.078,23288,24024,12,9,0
708.080,23428,24024,12,9,0
720.082,22780,24024,12,9,0
732.083,23500,24024,12,9,0
744.084,23392,24024,12,9,0
756.086,23300,24024,12,9,0
768.088,23628,24024,12,9,0
780.089,23052,24024,12,9,0
792.091,23084,24024,13,9,0
804.093,23320,24024,12,9,0
816.094,24268,24268,12,9,0
828.096,23148,24024,12,9,0
840.097,23908,24024,12,9,0
852.099,23228,24024,12,9,0
864.100,23704,24024,12,9,0
876.102,23272,24024,12,9,0
888.103,23596,24024,12,9,0
900.104,23040,24024,12,9,0
912.106,23584,24024,12,9,0
924.109,23572,24024,12,9,0
936.110,23308,24024,12,9,0
948.111,23080,24024,12,9,0
960.112,23680,24168,12,9,0
972.113,23900,24168,12,9,0
984.114,23316,24168,12,9,0
996.116,23456,24168,12,9,0
1008.117,23496,24168,12,9,0
1020.118,23256,24168,12,9,0
1032.119,24368,24368,12,9,0
1044.120,23428,24316,12,9,0
1056.121,24348,24348,12,9,0
1068.122,23964,24316,12,9,0
1080.123,23588,24316,12,9,0
1092.125,23744,24316,12,9,0
1104.126,24428,24428,12,9,0
1116.128,24244,24316,12,9,0
1128.130,23672,24316,12,9,0
1140.131,23744,24316,12,9,0
1152.132,23888,24316,12,9,0
1164.133,23796,24316,12,9,0
1176.134,23996,24316,12,9,0
1188.135,23768,24316,12,9,0
1200.136,23676,24316,12,9,0
1212.138,23940,24316,12,9,0
1224.140,23772,24316,12,9,0
1236.141,23832,24316,12,9,0
1248.143,24380,24380,12,9,0
1260.146,23884,24316,12,9,0
1272.147,24028,24316,12,9,0
1284.148,23972,24476,12,9,0
1296.149,23460,24476,12,9,0
1308.150,23692,24476,12,9,0
1320.151,23640,24476,12,9,0
1332.152,24168,24476,12,9,0
1344.155,24028,24476,12,9,0
1356.156,23484,24476,12,9,0
1368.157,23768,24476,12,9,0
1380.159,23792,24476,12,9,0
1392.160,24088,24476,12,9,0
1404.161,23620,24476,12,9,0
1416.163,24216,24476,12,9,0
1428.165,23668,24476,12,9,0
1440.166,23736,24476,12,9,0
1452.168,24188,24476,12,9,0
1464.169,23768,24476,12,9,0
1476.170,24340,24476,12,9,0
1488.171,23664,24476,12,9,0
1500.172,23644,24476,12,9,0
1512.174,24728,24728,12,9,0
1524.176,24180,24556,12,9,0
1536.177,23216,24788,12,9,0
1548.179,23360,24788,12,9,0
1560.180,23748,24788,12,9,0
1572.181,23200,24788,12,9,0
1584.183,23228,24788,12,9,0
1596.184,23772,24788,12,9,0
1608.185,23796,24788,12,9,0
1620.187,23572,24788,12,9,0
1632.188,23428,24788,12,9,0
1644.189,23764,24788,12,9,0
1656.191,24060,24788,12,9,0
1668.193,24136,24788,12,9,0
1680.195,23840,24788,12,9,0
1692.196,24384,24788,12,9,0
1704.197,23808,24788,12,9,0
1716.199,23768,24788,12,9,0
1728.200,23968,24788,12,9,0
1740.202,23880,24788,12,9,0
1752.206,24100,24788,12,9,0
1764.208,23700,24788,12,9,0
1776.210,23728,24788,12,9,0
1788.211,23760,24788,12,9,0
1800.001,23744,24788,12,9,0
