[eg-soak] scenario=sc2_h2h2 duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363524 metrics=127.0.0.1:44897 — soaking 7200s
[sc2_h2h2] t=     0s rss=    8.1MB fds=  11 thr= 10 | accept_inflight=- panic_total=0
[sc2_h2h2] t=    15s rss=   26.2MB fds=  22 thr=  9 | accept_inflight=7 panic_total=0
[sc2_h2h2] t=    30s rss=   27.2MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=    45s rss=   26.4MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=    60s rss=   27.5MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=    75s rss=   27.2MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=    90s rss=   27.8MB fds=  22 thr=  9 | accept_inflight=8 panic_total=0
[sc2_h2h2] t=   105s rss=   27.9MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   120s rss=   27.6MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=   135s rss=   28.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   150s rss=   28.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   165s rss=   27.9MB fds=  26 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=   180s rss=   28.0MB fds=  24 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   195s rss=   28.5MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   210s rss=   28.2MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=   225s rss=   28.3MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   240s rss=   28.4MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   255s rss=   28.8MB fds=  23 thr=  9 | accept_inflight=9 panic_total=0
[sc2_h2h2] t=   270s rss=   29.0MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   285s rss=   29.2MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   300s rss=   29.1MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   315s rss=   28.7MB fds=  25 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   330s rss=   28.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   345s rss=   30.1MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   360s rss=   28.8MB fds=  24 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   375s rss=   28.6MB fds=  23 thr=  9 | accept_inflight=10 panic_total=0
[sc2_h2h2] t=   390s rss=   29.1MB fds=  22 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   405s rss=   27.7MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   420s rss=   30.1MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=   435s rss=   29.2MB fds=  27 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=   450s rss=   29.6MB fds=  24 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=   465s rss=   29.0MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   480s rss=   29.9MB fds=  21 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=   495s rss=   29.3MB fds=  27 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   510s rss=   29.0MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   525s rss=   28.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   540s rss=   28.2MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   555s rss=   28.2MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc2_h2h2] t=   570s rss=   28.7MB fds=  24 thr=  9 | accept_inflight=16 panic_total=0
[sc2_h2h2] t=   585s rss=   29.7MB fds=  23 thr=  9 | accept_inflight=14 panic_total=0
[sc2_h2h2] t=   600s rss=   29.0MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   615s rss=   28.9MB fds=  22 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   630s rss=   28.6MB fds=  24 thr=  9 | accept_inflight=11 panic_total=0
[sc2_h2h2] t=   645s rss=   28.7MB fds=  25 thr=  9 | accept_inflight=12 panic_total=0
[sc2_h2h2] t=   661s rss=   28.6MB fds=  23 thr=  9 | accept_inflight=16 panic_total=0
