[eg-soak] scenario=sc3_slowloris duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363544 metrics=127.0.0.1:39311 — soaking 7200s
[sc3_slowloris] t=     0s rss=    7.3MB fds=  11 thr= 10 | accept_inflight=15 panic_total=0
[sc3_slowloris] t=    15s rss=   24.6MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=    30s rss=   24.7MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=    45s rss=   24.8MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=    60s rss=   25.0MB fds=  35 thr=  9 | accept_inflight=9 panic_total=0
[sc3_slowloris] t=    75s rss=   34.1MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=    90s rss=   34.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   105s rss=   34.3MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   120s rss=   34.3MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   135s rss=   41.9MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   150s rss=   42.0MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   165s rss=   41.1MB fds= 531 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   180s rss=   41.2MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   195s rss=   44.9MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   210s rss=   44.6MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   225s rss=   44.8MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   240s rss=   44.7MB fds= 528 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   255s rss=   48.4MB fds= 527 thr=  9 | accept_inflight=384 panic_total=0
[sc3_slowloris] t=   270s rss=   48.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   285s rss=   48.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   300s rss=   48.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   315s rss=   47.9MB fds= 312 thr=  9 | accept_inflight=192 panic_total=0
[sc3_slowloris] t=   330s rss=   50.5MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   345s rss=   50.5MB fds= 529 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   360s rss=   50.6MB fds= 530 thr=  9 | accept_inflight=388 panic_total=0
[sc3_slowloris] t=   375s rss=   49.6MB fds= 433 thr=  9 | accept_inflight=294 panic_total=0
