[eg-soak] scenario=sc4_modeb duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363564 metrics=127.0.0.1:38357 — soaking 7200s
[sc4_modeb] t=     0s rss=    7.9MB fds=  11 thr=  9 | quic_modeb_connections=0 quic_modeb_streams_active=0 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    15s rss=   19.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    30s rss=   21.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    45s rss=   24.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    60s rss=   26.9MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    75s rss=   27.9MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=    90s rss=   27.9MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   105s rss=   29.5MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   120s rss=   29.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   135s rss=   30.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   150s rss=   30.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   165s rss=   30.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   180s rss=   30.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   195s rss=   30.2MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   210s rss=   30.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   225s rss=   31.9MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   240s rss=   31.7MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   255s rss=   32.2MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   270s rss=   32.1MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   285s rss=   32.4MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   300s rss=   32.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   315s rss=   31.6MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   330s rss=   31.3MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
[sc4_modeb] t=   345s rss=   31.8MB fds=  23 thr=  9 | quic_modeb_connections=12 quic_modeb_streams_active=1 quic_modeb_datagrams_dropped_total=0 panic_total=0
