[eg-soak] scenario=sc6_413teardown duration=7200s sample=15s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=363621 metrics=127.0.0.1:33879 — soaking 7200s
[sc6_413teardown] t=     0s rss=    7.8MB fds=  11 thr= 10 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=    15s rss=   15.3MB fds=  26 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=    30s rss=   15.0MB fds=  26 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=    45s rss=   15.4MB fds=  26 thr=  9 | accept_inflight=5 panic_total=0
[sc6_413teardown] t=    60s rss=   15.8MB fds=  33 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=    75s rss=   15.6MB fds=  33 thr=  9 | accept_inflight=26 panic_total=0
[sc6_413teardown] t=    90s rss=   15.4MB fds=  29 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=   105s rss=   15.9MB fds=  23 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=   120s rss=   15.3MB fds=  25 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=   135s rss=   15.6MB fds=  28 thr=  9 | accept_inflight=8 panic_total=0
[sc6_413teardown] t=   150s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   165s rss=   15.5MB fds=  23 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   180s rss=   15.4MB fds=  31 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   195s rss=   15.2MB fds=  25 thr=  9 | accept_inflight=22 panic_total=0
[sc6_413teardown] t=   210s rss=   15.7MB fds=  27 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   225s rss=   15.4MB fds=  30 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=   240s rss=   15.4MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   255s rss=   15.7MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   270s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   285s rss=   15.6MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   300s rss=   16.0MB fds=  23 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=   315s rss=   14.9MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   330s rss=   15.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   345s rss=   15.6MB fds=  25 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   360s rss=   15.7MB fds=  24 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=   375s rss=   15.9MB fds=  29 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   390s rss=   15.8MB fds=  25 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   405s rss=   15.4MB fds=  23 thr=  9 | accept_inflight=23 panic_total=0
[sc6_413teardown] t=   420s rss=   15.3MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   435s rss=   15.1MB fds=  23 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=   450s rss=   15.5MB fds=  25 thr=  9 | accept_inflight=22 panic_total=0
[sc6_413teardown] t=   465s rss=   15.2MB fds=  20 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   480s rss=   15.1MB fds=  34 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   495s rss=   15.4MB fds=  24 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=   510s rss=   16.3MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   525s rss=   15.5MB fds=  23 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   541s rss=   15.7MB fds=  25 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   556s rss=   15.5MB fds=  23 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=   571s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   586s rss=   15.5MB fds=  26 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=   601s rss=   15.7MB fds=  31 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   616s rss=   15.4MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   631s rss=   15.1MB fds=  22 thr=  9 | accept_inflight=8 panic_total=0
[sc6_413teardown] t=   646s rss=   15.3MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc6_413teardown] t=   661s rss=   16.0MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   676s rss=   15.3MB fds=  34 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=   691s rss=   15.4MB fds=  25 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   706s rss=   15.3MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   721s rss=   15.9MB fds=  26 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   736s rss=   15.1MB fds=  28 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=   751s rss=   15.3MB fds=  23 thr=  9 | accept_inflight=16 panic_total=0
[sc6_413teardown] t=   766s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   781s rss=   16.1MB fds=  25 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=   796s rss=   16.0MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=   811s rss=   15.8MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   826s rss=   15.4MB fds=  31 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=   841s rss=   15.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   856s rss=   14.9MB fds=  24 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=   871s rss=   15.3MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   886s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   901s rss=   15.3MB fds=  32 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=   916s rss=   15.5MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=   931s rss=   15.3MB fds=  27 thr=  9 | accept_inflight=16 panic_total=0
[sc6_413teardown] t=   946s rss=   16.6MB fds=  26 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=   961s rss=   15.6MB fds=  23 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=   976s rss=   15.8MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=   991s rss=   15.6MB fds=  27 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1006s rss=   15.4MB fds=  24 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=  1021s rss=   16.2MB fds=  24 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=  1036s rss=   15.3MB fds=  24 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  1051s rss=   15.2MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1066s rss=   15.8MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1081s rss=   16.4MB fds=  31 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1096s rss=   15.5MB fds=  23 thr=  9 | accept_inflight=22 panic_total=0
[sc6_413teardown] t=  1111s rss=   12.6MB fds=  24 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1126s rss=   12.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1141s rss=   12.6MB fds=  23 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  1156s rss=   12.9MB fds=  31 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1171s rss=   12.6MB fds=  23 thr=  9 | accept_inflight=15 panic_total=0
[sc6_413teardown] t=  1186s rss=   13.5MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1201s rss=   12.6MB fds=  23 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=  1216s rss=   12.8MB fds=  33 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=  1231s rss=   13.0MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1246s rss=   13.1MB fds=  28 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1261s rss=   13.1MB fds=  26 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  1276s rss=   12.9MB fds=  32 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1291s rss=   13.0MB fds=  30 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1306s rss=   12.8MB fds=  31 thr=  9 | accept_inflight=15 panic_total=0
[sc6_413teardown] t=  1321s rss=   13.2MB fds=  22 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=  1336s rss=   12.5MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1351s rss=   13.6MB fds=  28 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1366s rss=   12.3MB fds=  24 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1381s rss=   12.9MB fds=  19 thr=  9 | accept_inflight=5 panic_total=0
[sc6_413teardown] t=  1396s rss=   12.9MB fds=  24 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1411s rss=   13.3MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1426s rss=   12.6MB fds=  32 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1441s rss=   12.9MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1456s rss=   12.4MB fds=  27 thr=  9 | accept_inflight=16 panic_total=0
[sc6_413teardown] t=  1471s rss=   12.9MB fds=  23 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=  1486s rss=   13.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1501s rss=   13.1MB fds=  23 thr=  9 | accept_inflight=25 panic_total=0
[sc6_413teardown] t=  1517s rss=   12.7MB fds=  31 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1532s rss=   12.9MB fds=  33 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  1547s rss=   12.5MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1562s rss=   13.2MB fds=  23 thr=  9 | accept_inflight=21 panic_total=0
[sc6_413teardown] t=  1577s rss=   12.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1592s rss=   12.9MB fds=  24 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1607s rss=   13.1MB fds=  32 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1622s rss=   12.9MB fds=  29 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1637s rss=   13.1MB fds=  31 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1652s rss=   13.2MB fds=  30 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1667s rss=   13.0MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1682s rss=   12.0MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1697s rss=   13.6MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1712s rss=   14.2MB fds=  31 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1727s rss=   13.6MB fds=  25 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=  1742s rss=   13.4MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1757s rss=   13.5MB fds=  23 thr=  9 | accept_inflight=11 panic_total=0
[sc6_413teardown] t=  1772s rss=   14.0MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1787s rss=   13.7MB fds=  29 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=  1802s rss=   14.0MB fds=  23 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  1817s rss=   14.1MB fds=  29 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1832s rss=   14.0MB fds=  24 thr=  9 | accept_inflight=15 panic_total=0
[sc6_413teardown] t=  1847s rss=   14.0MB fds=  24 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  1862s rss=   14.1MB fds=  23 thr=  9 | accept_inflight=17 panic_total=0
[sc6_413teardown] t=  1877s rss=   13.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1892s rss=   14.1MB fds=  24 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1907s rss=   13.7MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1922s rss=   13.9MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1937s rss=   14.1MB fds=  31 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  1952s rss=   13.8MB fds=  25 thr=  9 | accept_inflight=15 panic_total=0
[sc6_413teardown] t=  1967s rss=   13.6MB fds=  29 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1982s rss=   14.0MB fds=  29 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  1997s rss=   13.4MB fds=  25 thr=  9 | accept_inflight=18 panic_total=0
[sc6_413teardown] t=  2012s rss=   14.1MB fds=  23 thr=  9 | accept_inflight=19 panic_total=0
[sc6_413teardown] t=  2027s rss=   14.7MB fds=  30 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  2042s rss=   14.5MB fds=  30 thr=  9 | accept_inflight=14 panic_total=0
[sc6_413teardown] t=  2057s rss=   14.1MB fds=  31 thr=  9 | accept_inflight=13 panic_total=0
[sc6_413teardown] t=  2072s rss=   14.0MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  2087s rss=   14.1MB fds=  23 thr=  9 | accept_inflight=12 panic_total=0
[sc6_413teardown] t=  2102s rss=   14.1MB fds=  23 thr=  9 | accept_inflight=20 panic_total=0
[sc6_413teardown] t=  2117s rss=   13.8MB fds=  28 thr=  9 | accept_inflight=18 panic_total=0
