t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7248,7248,14,10,10,0
15.008,26580,32904,17,9,29,0
30.031,26044,33044,22,9,16,0
45.038,28084,33044,23,9,11,0
60.044,31656,33516,235,9,163,0
75.052,32788,33516,28,9,8,0
90.055,26232,33516,21,9,9,0
105.056,30592,33516,19,9,6,0
120.059,26904,33516,21,9,8,0
135.063,26044,33516,42,9,8,0
150.066,27416,33516,92,9,133,0
165.076,29912,33516,99,9,5,0
180.083,26632,33516,123,9,140,0
195.089,26044,33516,22,9,9,0
210.099,28940,33516,20,9,34,0
225.104,26204,33516,37,9,14,0
240.108,26644,33516,102,9,32,0
255.116,28744,33516,103,9,8,0
270.119,27784,33516,123,9,113,0
285.128,26288,33516,22,9,9,0
300.133,28088,33516,367,9,182,0
315.141,26560,33516,27,9,75,0
330.148,27708,33516,108,9,76,0
345.151,26044,33516,50,9,137,0
360.172,26936,33516,176,9,114,0
375.176,26596,33516,68,9,17,0
390.180,26368,33516,20,9,6,0
405.190,27072,33516,91,9,60,0
420.194,26756,34308,158,9,8,0
435.199,26784,34308,31,9,89,0
450.207,27300,37524,22,9,45,0
465.210,26772,37524,270,9,249,0
480.220,29380,37524,45,9,15,0
495.227,30268,37524,37,9,9,0
510.231,27180,37524,45,9,7,0
525.237,30352,37524,311,9,14,0
540.247,27040,37524,23,9,11,0
555.253,27384,37524,21,9,9,0
570.258,27508,37524,30,9,11,0
585.260,27384,37524,107,9,56,0
600.265,26912,37524,20,9,22,0
615.269,28972,37524,22,9,53,0
630.282,28284,37524,64,9,52,0
645.292,27212,37524,72,9,6,0
660.300,26744,37524,39,9,9,0
675.302,27076,37524,98,9,14,0
690.305,26468,37524,26,9,14,0
705.308,28144,37524,235,9,132,0
720.317,27780,37524,195,9,73,0
735.324,26676,37524,119,9,14,0
750.339,27180,37524,34,9,6,0
765.352,26704,37524,23,9,11,0
780.356,27020,37524,49,9,6,0
795.360,30028,37524,211,9,68,0
810.367,26236,37524,79,9,43,0
825.373,29556,37524,16,9,101,0
840.385,26044,37524,21,9,44,0
855.391,27864,37524,21,9,9,0
870.395,26044,37524,52,9,55,0
885.401,26044,37524,21,9,6,0
900.405,26712,37524,22,9,132,0
915.416,26100,37524,78,9,25,0
930.425,26048,37524,19,9,5,0
945.430,26656,37524,129,9,12,0
960.433,26044,37524,22,9,43,0
975.438,26044,37524,22,9,8,0
990.440,26928,37524,32,9,18,0
1005.442,27560,37524,99,9,227,0
1020.452,26404,37524,22,9,10,0
1035.463,26220,37524,22,9,7,0
1050.465,26116,37524,25,9,51,0
1065.471,26216,37524,21,9,57,0
1080.485,30044,37524,18,9,3,0
1095.489,26108,37524,15,9,130,0
1110.496,26568,37524,224,9,144,0
1125.500,27360,37524,38,9,10,0
1140.503,27436,37524,22,9,102,0
1155.508,26100,37524,88,9,32,0
1170.510,27372,37524,153,9,46,0
1185.516,26808,37524,22,9,10,0
1200.525,26468,37524,42,9,8,0
1215.527,26468,37524,25,9,74,0
1230.529,26544,37524,19,9,29,0
1245.534,26044,37524,50,9,127,0
1260.540,26044,37524,33,9,33,0
1275.556,27164,37524,25,9,10,0
1290.557,26600,37524,85,9,13,0
1305.562,31404,37524,52,9,11,0
1320.566,26168,37524,23,9,12,0
1335.568,26048,37524,112,9,75,0
1350.576,26108,37524,41,9,7,0
1365.580,30708,37524,24,9,12,0
1380.583,28392,37524,220,9,110,0
1395.590,26640,37524,18,9,10,0
1410.598,27704,37524,65,9,4,0
1425.600,26644,37524,28,9,10,0
1440.602,26044,37524,24,9,10,0
1455.605,26128,37524,32,9,41,0
1470.608,26044,37524,23,9,31,0
1485.611,27880,37524,22,9,13,0
1500.618,27056,37524,77,9,8,0
1515.629,28824,37524,131,9,8,0
1530.632,27296,37524,156,9,13,0
1545.638,26548,37524,184,9,25,0
1560.655,26848,37524,22,9,10,0
1575.659,27284,37524,20,9,189,0
1590.669,27036,37524,21,9,11,0
1605.673,27000,37524,84,9,226,0
1620.685,26088,37524,141,9,105,0
1635.690,26088,37524,29,9,6,0
1650.692,26044,37524,22,9,64,0
1665.703,26044,37524,39,9,10,0
1680.708,29356,37524,378,9,205,0
1695.725,27172,37524,23,9,11,0
1710.727,28528,37524,100,9,13,0
1725.730,26988,37524,114,9,75,0
1740.734,26988,37524,17,9,8,0
1755.739,28496,37524,63,9,8,0
1770.745,26536,37524,105,9,62,0
1785.751,27552,37524,18,9,8,0
1800.754,27308,37524,55,9,15,0
1815.757,26352,37524,99,9,17,0
1830.761,30852,37524,116,9,122,0
1845.781,27308,37524,23,9,10,0
1860.784,26160,37524,33,9,39,0
1875.793,26796,37524,75,9,64,0
1890.810,26232,37524,18,9,5,0
1905.811,28628,37524,34,9,28,0
1920.818,30812,37524,21,9,21,0
1935.825,26084,37524,23,9,39,0
1950.831,26776,37524,96,9,9,0
1965.836,27340,37524,50,9,11,0
1980.841,26280,37524,66,9,21,0
1995.844,27896,37524,215,9,2,0
2010.852,26044,37524,41,9,7,0
2025.855,29148,37524,22,9,26,0
2040.861,27500,37524,29,9,13,0
2055.864,26060,37524,19,9,9,0
2070.871,26044,37524,57,9,9,0
2085.874,27044,37524,85,9,20,0
2100.877,26916,37524,20,9,25,0
2115.890,26708,37524,30,9,14,0
2130.892,26988,37524,130,9,81,0
2145.906,26220,37524,167,9,24,0
2160.914,26044,37524,20,9,5,0
2175.917,27112,37524,142,9,85,0
2190.921,26648,37524,41,9,7,0
2205.930,27224,37524,242,9,39,0
2220.940,26044,37524,20,9,6,0
2235.942,26552,37524,127,9,120,0
2250.950,26416,37524,31,9,77,0
2265.956,26044,37524,21,9,10,0
2280.958,26044,37524,25,9,75,0
2295.962,26472,37524,21,9,9,0
2310.966,26044,37524,80,9,58,0
2325.988,27952,37524,148,9,144,0
2340.997,26432,37524,20,9,91,0
2356.000,29032,37524,63,9,97,0
2371.008,27992,37524,46,9,22,0
2386.016,26232,37524,26,9,11,0
2401.026,26184,37524,30,9,13,0
2416.031,26888,37524,58,9,11,0
2431.034,26044,37524,21,9,71,0
2446.046,27924,37524,21,9,132,0
2461.054,26044,37524,59,9,89,0
2476.058,26860,37524,103,9,69,0
2491.066,26072,37524,40,9,10,0
2506.073,27144,37524,22,9,26,0
2521.078,27744,37524,31,9,7,0
2536.089,26044,37524,20,9,10,0
2551.094,26684,37524,21,9,31,0
2566.102,27400,37524,56,9,21,0
2581.108,27056,37524,85,9,13,0
2596.112,28560,37524,22,9,11,0
2611.114,27528,37524,27,9,13,0
2626.117,26632,37524,81,9,31,0
2641.124,28516,37524,16,9,177,0
2656.131,27920,37524,25,9,14,0
2671.133,26044,37524,21,9,10,0
2686.136,27476,37524,21,9,17,0
2701.142,26084,37524,31,9,22,0
2716.150,27136,37524,110,9,36,0
2731.160,26080,37524,21,9,9,0
2746.161,26916,37524,57,9,9,0
2761.165,26044,37524,73,9,19,0
2776.171,27444,37524,90,9,7,0
2791.174,29600,37524,161,9,55,0
