t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7992,7992,11,10,7,0
15.002,21684,21720,18,9,6,0
30.013,22636,22800,18,9,6,0
45.024,22888,22888,17,9,5,0
60.034,23028,23280,18,9,6,0
75.037,23008,23280,18,9,6,0
90.045,23212,23452,18,9,7,0
105.051,23124,23452,18,9,6,0
120.056,22720,23452,18,9,6,0
135.060,22604,23452,17,9,6,0
150.074,22888,23452,18,9,6,0
165.077,23728,23728,17,9,6,0
180.085,23324,23648,17,9,7,0
195.091,23088,23648,18,9,5,0
210.096,22632,23648,16,9,6,0
225.101,23004,23648,16,9,6,0
240.104,23316,23760,19,9,6,0
255.107,23240,23816,18,9,6,0
270.109,24140,24140,18,9,6,0
285.119,23448,24080,19,9,6,0
300.122,23724,24080,18,9,7,0
315.126,23120,24080,18,9,6,0
330.131,23472,24080,18,9,6,0
345.146,23432,24080,18,9,5,0
360.157,23264,24080,18,9,6,0
375.164,23180,24080,18,9,6,0
390.172,23216,24080,18,9,7,0
405.184,23156,24080,18,9,6,0
420.188,23240,24080,18,9,5,0
435.195,23376,24080,18,9,6,0
450.213,23608,24080,18,9,5,0
465.215,23096,24080,18,9,6,0
480.221,23444,24080,18,9,5,0
495.226,23128,24080,18,9,5,0
510.230,23468,24080,19,9,7,0
525.237,23724,24080,18,9,6,0
540.244,23592,24080,17,9,5,0
555.247,23276,24080,18,9,6,0
570.260,23460,24080,18,9,6,0
585.264,22876,24108,18,9,6,0
600.266,22628,24108,18,9,6,0
615.268,23132,24108,17,9,7,0
630.271,23004,24108,18,9,6,0
645.278,22948,24108,17,9,5,0
660.283,23472,24108,19,9,6,0
675.292,23164,24448,18,9,6,0
690.296,23212,24448,18,9,5,0
705.305,22828,24448,18,9,5,0
720.309,23684,24448,18,9,5,0
735.317,23308,24448,18,9,7,0
750.325,23224,24448,18,9,7,0
765.332,22792,24448,17,9,6,0
780.349,23628,24448,17,9,7,0
795.353,23192,24448,18,9,6,0
810.357,23296,24448,19,9,6,0
825.359,23256,24448,19,9,7,0
840.361,22864,24448,19,9,7,0
855.364,22940,24448,18,9,6,0
870.370,22956,24448,18,9,6,0
885.373,23004,24448,18,9,9,0
900.379,22728,24448,18,9,6,0
915.392,23560,24448,18,9,6,0
930.399,23316,24448,18,9,6,0
945.412,23196,24448,18,9,6,0
960.420,24304,24448,18,9,6,0
975.429,23040,24796,18,9,5,0
990.433,23136,24796,18,9,5,0
1005.436,23632,24796,18,9,6,0
1020.448,23644,24796,18,9,6,0
1035.453,23508,24796,17,9,5,0
