t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7376,7376,11,10,,0
15.005,17016,17100,210,9,148,0
30.007,17348,17348,207,9,148,0
45.012,17144,17460,211,9,148,0
60.017,17248,17824,78,9,33,0
75.020,21192,21568,209,9,147,0
90.023,21220,21828,209,9,148,0
105.025,21320,21828,209,9,148,0
120.027,21312,21828,210,9,148,0
135.030,24720,24836,207,9,148,0
150.031,24708,24944,209,9,148,0
165.036,24772,24984,210,9,148,0
180.039,24720,24988,209,9,148,0
195.053,25500,25504,208,9,148,0
210.061,25420,25860,209,9,148,0
225.065,25392,25860,208,9,148,0
240.077,25436,25996,209,9,148,0
255.080,27092,27432,208,9,148,0
270.083,27064,27432,209,9,148,0
285.086,27052,27432,209,9,148,0
300.089,27052,27432,209,9,148,0
315.093,27036,27760,114,9,52,0
330.095,28276,28288,208,9,148,0
345.097,28292,28292,208,9,148,0
360.100,28300,28300,210,9,148,0
375.106,28484,28784,210,9,148,0
390.112,28032,28784,208,9,148,0
405.119,28032,28784,211,9,149,0
420.122,28032,28784,211,9,148,0
435.126,28244,28784,210,9,148,0
450.135,28492,28784,210,9,148,0
465.138,28532,28784,211,9,148,0
480.144,28300,28784,210,9,148,0
495.147,28360,28784,114,9,100,0
510.155,27748,29108,209,9,148,0
525.158,27752,29108,209,9,148,0
540.160,27752,29108,208,9,148,0
555.162,27752,29108,208,9,148,0
570.165,29296,29432,209,9,148,0
585.168,29268,29680,209,9,149,0
600.170,28584,29680,208,9,148,0
615.172,28588,29680,210,9,149,0
630.177,28324,29680,115,9,52,0
645.180,30172,30492,208,9,148,0
660.182,30172,30492,211,9,148,0
675.184,30176,30492,209,9,148,0
690.186,29228,30492,210,9,148,0
705.192,28704,30492,210,9,148,0
720.197,28704,30492,210,9,148,0
735.199,28720,30492,209,9,148,0
750.202,28684,30492,209,9,148,0
765.204,28528,30492,209,9,148,0
780.207,28528,30492,210,9,148,0
795.210,28528,30492,210,9,148,0
810.213,28064,30492,211,9,148,0
825.219,27692,30492,209,9,148,0
840.224,27692,30492,210,9,148,0
855.225,27692,30492,209,9,148,0
870.227,28048,30492,209,9,148,0
885.230,28140,30492,209,9,148,0
900.233,27996,30492,209,9,148,0
915.241,28008,30492,210,9,148,0
930.243,27884,30492,115,9,100,0
945.245,27124,30492,115,9,52,0
960.247,27820,30492,209,9,148,0
975.253,27820,30492,211,9,148,0
990.262,27820,30492,208,9,148,0
1005.268,28260,30492,208,9,148,0
1020.271,28932,30492,211,9,148,0
1035.272,28872,30492,208,9,148,0
1050.276,28868,30492,210,9,148,0
1065.279,28688,30492,208,9,148,0
1080.285,28504,30492,211,9,148,0
1095.288,28504,30492,209,9,148,0
1110.290,28504,30492,208,9,148,0
1125.294,28928,30492,210,9,148,0
1140.297,28876,30492,208,9,148,0
1155.300,28892,30492,210,9,148,0
1170.307,28888,30492,208,9,148,0
1185.309,29052,30492,210,9,148,0
1200.314,29700,30492,209,9,148,0
1215.316,29684,30492,210,9,148,0
1230.324,29684,30492,210,9,148,0
1245.336,29568,30492,211,9,148,0
1260.338,29400,30492,112,9,52,0
1275.339,30060,30492,211,9,148,0
1290.343,30064,30492,211,9,148,0
1305.345,29416,30492,210,9,148,0
1320.347,29428,30492,210,9,148,0
1335.351,29464,30492,210,9,148,0
1350.355,29464,30492,211,9,148,0
1365.356,28532,30492,208,9,148,0
1380.360,28532,30492,210,9,148,0
1395.370,28524,30492,209,9,148,0
1410.374,28524,30492,208,9,148,0
1425.376,28340,30492,113,9,100,0
1440.377,29056,30492,210,9,148,0
1455.380,29060,30492,211,9,148,0
1470.383,29064,30492,210,9,148,0
1485.388,29068,30492,211,9,148,0
1500.402,28920,30492,208,9,148,0
1515.404,29704,30492,208,9,148,0
1530.406,29724,30492,210,9,148,0
1545.408,29736,30492,210,9,148,0
1560.410,29740,30492,208,9,148,0
1575.413,29768,30492,113,9,52,0
1590.416,30984,31176,210,9,148,0
1605.418,30984,31388,209,9,148,0
1620.420,31028,31388,210,9,148,0
1635.422,31028,31388,209,9,148,0
1650.425,30744,31388,211,9,147,0
1665.428,30744,31388,208,9,148,0
1680.431,28564,31388,209,9,148,0
1695.434,28564,31388,210,9,149,0
1710.439,28556,31388,208,9,148,0
1725.451,28556,31388,208,9,148,0
1740.453,29008,31388,211,9,147,0
1755.457,29012,31388,209,9,148,0
1770.460,28860,31388,210,9,148,0
1785.462,28860,31388,210,9,148,0
1800.465,29392,31388,210,9,148,0
1815.473,29392,31388,208,9,148,0
1830.488,30364,31388,209,9,148,0
1845.490,30376,31388,209,9,148,0
1860.492,30352,31388,113,9,100,0
1875.498,30364,31388,211,9,148,0
1890.500,29844,31388,114,9,52,0
1905.508,30136,31388,208,9,148,0
1920.510,30060,31388,210,9,148,0
1935.513,29764,31388,209,9,148,0
1950.514,29764,31388,209,9,148,0
1965.517,30964,31388,211,9,148,0
1980.520,30964,31388,211,9,148,0
1995.526,30956,31388,210,9,148,0
2010.530,31048,31388,209,9,148,0
2025.532,30584,31388,209,9,148,0
2040.539,30356,31388,210,9,148,0
2055.544,30368,31388,208,9,148,0
2070.546,30368,31388,210,9,148,0
2085.550,29784,31388,209,9,148,0
2100.554,29876,31388,209,9,148,0
2115.556,29900,31388,209,9,148,0
2130.574,29916,31388,211,9,148,0
2145.578,31148,31388,209,9,148,0
2160.581,31140,31596,209,9,148,0
2175.583,31772,31916,208,9,148,0
2190.586,31620,31916,211,9,147,0
2205.589,30780,31916,113,9,52,0
2220.591,31428,31916,210,9,148,0
2235.593,30316,31916,211,9,148,0
2250.594,30300,31916,210,9,148,0
2265.597,30020,31916,210,9,148,0
2280.600,29808,31916,210,9,148,0
2295.605,29612,31916,210,9,148,0
2310.606,29612,31916,211,9,148,0
2325.609,29612,31916,208,9,148,0
2340.612,29992,31916,209,9,148,0
2355.615,29992,31916,113,9,100,0
2370.617,29472,31916,209,9,148,0
2385.619,29480,31916,210,9,148,0
2400.621,29896,31916,209,9,148,0
2415.624,29896,31916,210,9,148,0
2430.626,29768,31916,208,9,148,0
2445.635,29768,31916,209,9,148,0
2460.637,29792,31916,208,9,148,0
2475.639,29860,31916,211,9,148,0
2490.641,29728,31916,208,9,148,0
2505.645,29728,31916,209,9,148,0
2520.651,29440,31916,112,9,52,0
2535.653,29460,31916,210,9,148,0
2550.656,28724,31916,209,9,148,0
2565.658,28724,31916,210,9,148,0
2580.662,28724,31916,211,9,148,0
2595.665,30176,31916,211,9,148,0
2610.668,30240,31916,210,9,148,0
2625.673,30000,31916,209,9,148,0
2640.681,29956,31916,208,9,148,0
2655.683,30104,31916,210,9,148,0
2670.685,29952,31916,209,9,148,0
2685.687,29952,31916,209,9,148,0
2700.692,29952,31916,211,9,148,0
