t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,7588,7588,11,9,0,0,0,0
15.009,13568,13568,15,9,4,1,0,0
30.011,14612,14612,15,9,4,1,0,0
45.017,15868,15868,15,9,4,1,0,0
60.027,16476,16476,15,9,4,1,0,0
75.029,17768,17768,15,9,4,1,0,0
90.030,18332,18332,15,9,4,1,0,0
105.032,17944,17944,11,9,0,4,0,0
120.033,17944,17944,11,9,0,4,0,0
135.037,17944,17944,11,9,0,4,0,0
150.040,17944,17944,11,9,0,4,0,0
165.041,17944,17944,11,9,0,4,0,0
180.043,17944,17944,11,9,0,4,0,0
195.044,17944,17944,11,9,0,4,0,0
210.047,17944,17944,11,9,0,4,0,0
225.048,17944,17944,11,9,0,4,0,0
240.053,17944,17944,11,9,0,4,0,0
255.054,17944,17944,11,9,0,4,0,0
270.059,17944,17944,11,9,0,4,0,0
285.061,17944,17944,11,9,0,4,0,0
300.065,17944,17944,11,9,0,4,0,0
315.068,17944,17944,11,9,0,4,0,0
330.071,17944,17944,11,9,0,4,0,0
345.072,17944,17944,11,9,0,4,0,0
360.079,17944,17944,11,9,0,4,0,0
375.080,17944,17944,11,9,0,4,0,0
390.081,17944,17944,11,9,0,4,0,0
405.083,17944,17944,11,9,0,4,0,0
420.085,17944,17944,11,9,0,4,0,0
435.087,17944,17944,11,9,0,4,0,0
450.088,17944,17944,11,9,0,4,0,0
465.090,17944,17944,11,9,0,4,0,0
480.095,17944,17944,11,9,0,4,0,0
495.096,17944,17944,11,9,0,4,0,0
510.102,17944,17944,11,9,0,4,0,0
525.105,17944,17944,11,9,0,4,0,0
540.107,17944,17944,11,9,0,4,0,0
555.109,17944,17944,11,9,0,4,0,0
570.113,17944,17944,11,9,0,4,0,0
585.115,17944,17944,11,9,0,4,0,0
600.116,17944,17944,11,9,0,4,0,0
615.117,17944,17944,11,9,0,4,0,0
630.119,17944,17944,11,9,0,4,0,0
645.120,17944,17944,11,9,0,4,0,0
660.122,17944,17944,11,9,0,4,0,0
