t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,7644,7644,11,9,0,0,0,0
15.007,27664,27840,21,9,9,1,0,0
30.010,28132,28924,18,9,7,0,0,0
45.016,28720,28924,20,9,8,1,0,0
60.021,30004,30984,23,9,11,0,0,0
75.025,30000,31700,20,9,8,0,0,0
90.027,29588,32396,11,9,0,0,0,0
105.029,29588,32396,11,9,0,0,0,0
120.032,29588,32396,11,9,0,0,0,0
135.034,29588,32396,11,9,0,0,0,0
150.039,29588,32396,11,9,0,0,0,0
165.041,29588,32396,11,9,0,0,0,0
180.044,29588,32396,11,9,0,0,0,0
195.046,29588,32396,11,9,0,0,0,0
210.048,29588,32396,11,9,0,0,0,0
225.050,29588,32396,11,9,0,0,0,0
240.052,29588,32396,11,9,0,0,0,0
255.054,29588,32396,11,9,0,0,0,0
270.055,29588,32396,11,9,0,0,0,0
285.056,29588,32396,11,9,0,0,0,0
300.058,29588,32396,11,9,0,0,0,0
315.060,29588,32396,11,9,0,0,0,0
330.062,29588,32396,11,9,0,0,0,0
345.064,29588,32396,11,9,0,0,0,0
360.066,29588,32396,11,9,0,0,0,0
375.069,29588,32396,11,9,0,0,0,0
390.071,29588,32396,11,9,0,0,0,0
405.073,29588,32396,11,9,0,0,0,0
420.079,29588,32396,11,9,0,0,0,0
435.081,29588,32396,11,9,0,0,0,0
450.083,29588,32396,11,9,0,0,0,0
465.086,29588,32396,11,9,0,0,0,0
480.088,29588,32396,11,9,0,0,0,0
495.089,29588,32396,11,9,0,0,0,0
510.091,29588,32396,11,9,0,0,0,0
525.092,29588,32396,11,9,0,0,0,0
540.095,29588,32396,11,9,0,0,0,0
555.099,29588,32396,11,9,0,0,0,0
570.103,29588,32396,11,9,0,0,0,0
585.105,29588,32396,11,9,0,0,0,0
600.107,29588,32396,11,9,0,0,0,0
615.109,29588,32396,11,9,0,0,0,0
630.111,29588,32396,11,9,0,0,0,0
645.112,29588,32396,11,9,0,0,0,0
660.118,29588,32396,11,9,0,0,0,0
675.120,29588,32396,11,9,0,0,0,0
690.124,29588,32396,11,9,0,0,0,0
705.126,29588,32396,11,9,0,0,0,0
720.128,29588,32396,11,9,0,0,0,0
735.130,29588,32396,11,9,0,0,0,0
750.131,29588,32396,11,9,0,0,0,0
