t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7976,7976,11,10,,0
15.006,13420,13420,19,9,4,0
30.012,13328,13608,15,9,8,0
45.019,13212,13744,16,9,3,0
60.029,13392,13744,16,9,7,0
75.033,12908,13864,16,9,7,0
90.037,13412,14064,15,9,8,0
105.042,13472,14064,15,9,7,0
120.048,13548,14160,19,9,3,0
135.052,13112,14160,16,9,6,0
150.055,13268,14160,15,9,8,0
165.061,13536,14200,15,9,8,0
180.075,13740,14200,16,9,9,0
195.080,13604,14200,19,9,8,0
210.081,13548,14384,16,9,6,0
225.083,13552,14384,15,9,6,0
240.089,13356,14384,20,9,5,0
255.091,13516,14384,16,9,7,0
270.096,13500,14384,20,9,5,0
285.099,13228,14384,15,9,8,0
300.102,13464,14384,15,9,6,0
315.110,13468,14384,18,9,8,0
330.120,13408,14384,15,9,9,0
345.125,13424,14384,15,9,8,0
360.131,13932,14384,16,9,9,0
375.136,13492,14384,15,9,8,0
390.141,13552,14384,15,9,4,0
405.147,13568,14384,15,9,7,0
420.154,13616,14384,19,9,7,0
435.157,13328,14384,15,9,4,0
450.159,13420,14384,15,9,4,0
465.163,13468,14384,17,9,8,0
480.166,13672,14384,15,9,8,0
495.171,13656,14384,18,9,6,0
510.173,13284,14384,16,9,4,0
525.176,13616,14384,15,9,5,0
540.182,13564,14384,15,9,9,0
555.187,13284,14384,15,9,7,0
570.195,13392,14384,17,9,6,0
585.199,13384,14384,19,9,4,0
600.205,13428,14384,19,9,6,0
615.210,13464,14384,16,9,5,0
630.214,13476,14384,15,9,7,0
645.217,13224,14384,15,9,4,0
660.220,13368,14384,15,9,4,0
675.223,13412,14384,20,9,4,0
690.232,13628,14384,15,9,3,0
705.244,13684,14384,16,9,4,0
720.249,13796,14444,15,9,7,0
735.253,13628,14444,15,9,9,0
750.264,13688,14444,15,9,8,0
765.268,14204,14676,15,9,4,0
780.276,13840,14676,18,9,4,0
795.283,13580,14676,19,9,6,0
810.287,13584,14676,19,9,4,0
825.291,13472,14676,15,9,8,0
840.299,13444,14676,19,9,4,0
855.304,13464,14676,15,9,8,0
870.311,13364,14676,15,9,4,0
885.315,13372,14676,18,9,6,0
900.317,13496,14676,15,9,4,0
915.322,13480,14676,17,9,6,0
930.326,13512,14676,15,9,8,0
945.331,13620,14676,15,9,8,0
960.337,13444,14676,15,9,8,0
975.339,13408,14676,15,9,10,0
990.344,13384,14676,15,9,8,0
1005.351,13340,14676,15,9,7,0
1020.360,13600,14676,15,9,4,0
1035.366,13524,14676,15,9,5,0
1050.371,13488,14676,19,9,5,0
1065.375,13384,14676,15,9,8,0
1080.381,13388,14676,15,9,7,0
1095.384,13596,14676,15,9,8,0
1110.386,13192,14676,20,9,6,0
1125.388,13472,14676,15,9,9,0
1140.399,13504,14676,15,9,8,0
1155.410,13424,14676,15,9,8,0
1170.416,13620,14676,15,9,4,0
1185.423,13184,14676,18,9,4,0
1200.428,13676,14676,17,9,8,0
1215.431,13840,14676,18,9,5,0
1230.436,13208,14676,15,9,10,0
1245.442,13336,14676,17,9,6,0
1260.448,13308,14676,17,9,5,0
1275.456,13800,14676,15,9,4,0
1290.465,13308,14676,18,9,4,0
1305.468,13220,14676,20,9,10,0
1320.480,13316,14676,18,9,5,0
1335.483,13420,14676,15,9,4,0
1350.496,13776,14676,19,9,4,0
1365.503,13768,14676,15,9,4,0
1380.507,13688,14676,17,9,6,0
1395.511,13388,14676,15,9,8,0
