t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8208,8208,11,9,0,0,0
5.001,62436,62436,4744,9,9464,0,0
10.014,94832,94832,7552,9,15080,0,0
15.024,131228,131228,10789,9,21554,0,0
20.037,159048,159048,13241,9,26458,0,0
25.051,178308,178308,14864,9,29704,0,0
30.064,195052,195052,16330,9,32636,0,0
35.077,230636,230636,19489,9,38954,0,0
40.095,252696,252696,21437,9,42850,0,0
45.112,271860,271860,23126,9,46228,0,0
50.130,288768,288768,24629,9,49234,0,0
55.148,304176,304176,25982,9,51940,0,0
60.167,318144,318144,27221,9,54418,0,0
65.188,330572,330572,28239,9,56454,0,0
70.208,330592,330592,28239,9,56454,0,0
75.226,330612,330612,28239,9,56454,0,0
80.244,330616,330616,28239,9,56454,0,0
85.263,330620,330620,28239,9,56454,0,0
90.282,330620,330620,28239,9,56454,0,0
95.302,330620,330620,28239,9,56454,0,0
100.320,330620,330620,28239,9,56454,0,0
105.340,330628,330628,28239,9,56454,0,0
110.358,330632,330632,28239,9,56454,0,0
115.377,330652,330652,28239,9,56454,0,0
120.395,330656,330656,28239,9,56454,0,0
125.415,330656,330656,28239,9,56454,0,0
130.433,330680,330680,28240,9,56457,0,0
135.452,330700,330700,28240,9,56457,0,0
140.471,330700,330700,28240,9,56457,0,0
145.490,330700,330700,28240,9,56457,0,0
150.002,330700,330700,28240,9,56457,0,0
