t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8224,8224,11,9,0,0,0
15.002,38340,38340,649,9,1275,1193,0
30.004,61212,61212,392,9,761,2049,0
45.007,71028,71028,300,9,577,2580,0
60.008,76364,76364,261,9,499,2993,0
75.010,78968,78968,236,9,449,3351,0
90.011,79608,79608,217,9,411,3676,0
105.012,81248,81248,193,9,363,3973,0
120.013,81928,81928,176,9,329,4232,0
135.014,81928,81928,167,9,311,4470,0
150.016,81972,81972,162,9,301,4696,0
165.018,82520,82520,162,9,301,4916,0
180.020,82520,82520,154,9,285,5134,0
195.021,82524,82524,151,9,279,5341,0
210.022,82524,82524,146,9,269,5542,0
225.025,82524,82524,141,9,259,5736,0
240.002,82524,82524,101,9,179,5923,0
