t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7360,7360,11,10,7,0
15.007,20600,24836,28,9,27,0
30.011,20592,24836,35,9,23,0
45.013,20972,24836,21,9,18,0
60.014,20132,24836,18,9,6,0
75.016,20132,24836,20,9,8,0
90.019,19792,24836,28,9,6,0
105.027,20044,24836,21,9,10,0
120.029,20128,24836,21,9,24,0
135.038,19992,24836,18,9,5,0
150.039,19972,24836,22,9,10,0
165.041,20012,24836,19,9,10,0
180.045,20292,24836,22,9,6,0
195.048,19764,24836,17,9,7,0
210.050,20000,25060,41,9,48,0
225.055,19972,25060,22,9,21,0
240.001,19716,25060,21,9,9,0
