t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,8268,8268,11,10,7,0
15.002,19380,19628,19,9,6,0
30.003,19956,20544,19,9,7,0
45.006,20392,20544,18,9,6,0
60.008,19796,20544,19,9,7,0
75.010,19924,20544,19,9,7,0
90.013,19784,20544,19,9,6,0
105.014,20112,20544,19,9,7,0
120.016,19868,20544,18,9,7,0
135.018,20240,20544,20,9,8,0
150.020,20036,20740,20,9,8,0
165.021,19992,20956,19,9,7,0
180.022,19992,20956,19,9,7,0
195.025,20048,20956,18,9,6,0
210.027,19912,20956,18,9,7,0
225.028,19904,20956,17,9,6,0
240.001,20192,20956,19,9,5,0
