t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7232,7232,12,10,32,0
15.004,17256,17596,210,9,148,0
30.006,17372,17736,211,9,148,0
45.008,17300,17804,209,9,148,0
60.012,17620,17916,129,9,99,0
75.015,20692,21228,209,9,148,0
90.017,20648,21228,211,9,148,0
105.020,20760,21228,208,9,148,0
120.023,20784,21312,210,9,148,0
135.025,23100,23604,210,9,148,0
150.030,23100,23604,211,9,148,0
165.036,23116,23604,209,9,148,0
180.038,23216,23604,211,9,148,0
195.041,25016,25400,209,9,148,0
210.043,24824,25640,208,9,148,0
225.052,25024,25640,209,9,148,0
240.001,25044,25640,206,9,146,0
