t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,7564,7564,11,9,0,0,0,0
15.002,23840,23840,20,9,9,4,0,0
30.004,23856,24240,21,9,6,0,0,0
45.004,24108,24240,19,9,7,4,0,0
60.007,24212,24240,20,9,9,4,0,0
75.009,24084,24240,20,9,8,4,0,0
90.010,24780,24780,20,9,6,4,0,0
105.012,24196,24608,19,9,8,4,0,0
120.013,24168,24608,20,9,5,0,0,0
135.015,24232,24616,20,9,6,4,0,0
150.017,24340,24616,20,9,6,4,0,0
165.018,24276,24616,20,9,8,4,0,0
180.019,24532,24644,19,9,8,4,0,0
195.020,24272,24644,19,9,6,4,0,0
210.022,24572,24644,19,9,7,4,0,0
225.024,24672,25020,19,9,8,4,0,0
240.000,24564,25020,19,9,6,4,0,0
