t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,7988,7988,11,9,0,0,0,0
15.001,25120,26148,22,9,10,1,0,0
30.002,24292,26148,21,9,10,1,0,0
45.003,24860,26148,24,9,12,0,0,0
60.005,24492,26148,22,9,10,1,0,0
75.006,23972,26148,22,9,9,0,0,0
90.008,25356,26148,22,9,10,0,0,0
105.009,23588,26148,20,9,9,1,0,0
120.010,25184,26148,24,9,12,0,0,0
135.011,24740,26148,21,9,9,0,0,0
150.012,25116,26148,23,9,11,0,0,0
165.013,24236,26148,23,9,11,1,0,0
180.014,24416,26148,25,9,14,0,0,0
195.015,24404,26476,21,9,9,0,0,0
210.016,25100,26476,22,9,11,0,0,0
225.018,24772,26476,21,9,10,0,0,0
240.001,25096,26476,20,9,9,1,0,0
