t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8220,8220,11,9,0,0,0
15.001,44980,44980,810,9,1597,1426,0
30.004,71308,71308,422,9,821,2465,0
45.006,79792,79792,318,9,613,3035,0
60.008,83236,83236,276,9,529,3475,0
75.010,84880,84880,248,9,473,3856,0
90.012,86952,86952,227,9,431,4198,0
105.013,88116,88116,198,9,373,4509,0
120.015,88120,88120,181,9,339,4776,0
135.017,88120,88120,175,9,327,5022,0
150.018,88120,88120,166,9,309,5258,0
165.019,88520,88520,161,9,299,5483,0
180.021,88520,88520,155,9,287,5700,0
195.023,88520,88520,148,9,273,5908,0
210.024,88520,88520,146,9,269,6107,0
225.026,88520,88520,141,9,259,6302,0
240.001,88520,88520,138,9,253,6490,0
