t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,8400,8400,11,10,5,0
15.002,13012,13244,17,9,8,0
30.006,13240,13516,17,9,5,0
45.009,13148,13560,15,9,6,0
60.012,13072,13632,17,9,4,0
75.014,13460,13632,17,9,6,0
90.017,13228,13848,17,9,8,0
105.019,13296,14052,16,9,7,0
120.022,13224,14052,18,9,6,0
135.023,13276,14052,17,9,7,0
150.025,13208,14052,16,9,7,0
165.027,12836,14052,19,9,4,0
180.030,13152,14052,18,9,6,0
195.033,13284,14052,17,9,8,0
210.037,13616,14052,18,9,5,0
225.039,13276,14052,17,9,10,0
240.001,13124,14052,22,9,6,0
