t_secs,rss_kb,vmhwm_kb,fds,threads,accept_inflight,panic_total
0.000,7276,7276,11,10,53,0
15.012,16652,16744,210,9,148,0
30.014,16696,17048,209,9,148,0
45.015,16812,17048,210,9,148,0
60.016,17116,17116,15,9,4,0
75.017,21016,21164,210,9,148,0
90.018,21012,21164,211,9,148,0
105.019,21120,21176,211,9,148,0
120.020,20964,21264,210,9,148,0
135.021,20568,21264,210,9,148,0
150.022,20552,21264,211,9,148,0
165.023,20752,21264,207,9,148,0
180.024,20580,21264,210,9,148,0
195.025,21436,21476,209,9,148,0
210.026,21528,21740,210,9,147,0
225.027,21452,21740,208,9,148,0
240.028,21484,21740,208,9,148,0
255.029,22384,22384,210,9,148,0
270.030,22308,22432,211,9,150,0
285.031,22316,22444,211,9,149,0
300.032,22312,22592,211,9,148,0
315.033,21212,22592,114,9,52,0
330.034,21664,22592,209,9,148,0
345.035,21636,22592,208,9,148,0
360.036,21636,22592,209,9,148,0
375.037,21324,22592,210,9,148,0
390.038,21752,22592,211,9,148,0
405.040,21756,22592,210,9,148,0
420.041,21752,22592,209,9,148,0
435.042,21636,22592,211,9,148,0
450.043,22684,22704,209,9,148,0
465.044,22600,22704,206,9,148,0
480.045,22600,22716,210,9,148,0
495.046,21708,22716,114,9,100,0
510.048,22856,22856,209,9,148,0
525.049,22832,22948,209,9,148,0
540.050,22864,23108,209,9,148,0
555.051,22828,23108,210,9,148,0
570.052,23252,23252,208,9,148,0
585.053,23320,23352,211,9,149,0
600.054,23300,23408,210,9,148,0
615.055,23240,23412,210,9,148,0
630.056,22348,23412,113,9,52,0
645.058,23100,23412,210,9,148,0
660.059,23096,23412,208,9,148,0
675.061,23184,23412,210,9,148,0
690.062,23984,24152,209,9,148,0
705.063,23704,24152,210,9,149,0
720.064,23548,24152,207,9,148,0
735.065,23648,24152,209,9,148,0
750.066,23620,24152,208,9,148,0
765.067,23776,24152,210,9,148,0
780.068,23784,24152,209,9,148,0
795.069,23800,24152,209,9,148,0
810.070,23356,24152,208,9,148,0
825.071,23044,24152,209,9,148,0
840.072,23088,24152,209,9,148,0
855.073,23040,24152,211,9,148,0
870.074,23220,24152,210,9,148,0
885.075,23300,24152,208,9,148,0
900.001,23300,24152,211,9,148,0
