t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8460,8460,11,9,0,0,0
15.001,41376,41376,591,9,1159,1307,0
30.004,60820,60820,356,9,689,2079,0
45.006,70384,70384,269,9,515,2565,0
60.009,73272,73272,235,9,447,2934,0
75.011,75516,75516,211,9,399,3256,0
90.012,76084,76084,195,9,367,3544,0
105.015,76440,76440,179,9,335,3808,0
120.016,76440,76440,169,9,315,4050,0
135.018,76448,76448,153,9,283,4278,0
150.020,76448,76448,143,9,263,4481,0
165.022,76036,76036,138,9,253,4672,0
180.024,76036,76036,134,9,245,4856,0
195.025,76040,76040,130,9,237,5034,0
210.026,76040,76040,127,9,231,5205,0
225.028,76048,76048,122,9,221,5371,0
240.029,76048,76048,118,9,213,5531,0
255.031,75828,75828,114,9,205,5686,0
270.032,75828,75828,113,9,203,5835,0
285.034,75828,75828,110,9,197,5982,0
300.036,75828,75828,107,9,191,6124,0
315.037,75828,75828,104,9,185,6262,0
330.038,75828,75828,103,9,183,6396,0
345.039,75828,75828,99,9,175,6528,0
360.041,75828,75828,98,9,173,6655,0
375.043,75828,75828,97,9,171,6781,0
390.044,75828,75828,94,9,165,6905,0
405.045,75828,75828,93,9,163,7025,0
420.047,75796,75796,92,9,161,7142,0
435.048,75796,75796,90,9,157,7258,0
450.050,75796,75796,89,9,155,7370,0
465.051,75796,75796,87,9,151,7481,0
480.052,75796,75796,85,9,147,7589,0
495.053,75796,75796,84,9,145,7696,0
510.055,75796,75796,83,9,143,7801,0
525.057,75796,75796,74,9,125,7904,0
540.058,75796,75796,73,9,123,7994,0
555.061,75796,75796,72,9,121,8083,0
570.063,75796,75796,72,9,121,8170,0
585.064,75796,75796,72,9,121,8257,0
600.065,75796,75796,71,9,119,8343,0
615.066,75796,75796,71,9,119,8428,0
630.067,75796,75796,69,9,115,8512,0
645.068,75796,75796,68,9,113,8593,0
660.070,75796,75796,68,9,113,8673,0
675.071,75796,75796,67,9,111,8754,0
690.074,75796,75796,65,9,107,8833,0
705.075,75796,75796,67,9,111,8910,0
720.076,75796,75796,66,9,109,8989,0
735.077,75796,75796,65,9,107,9067,0
750.079,75796,75796,65,9,107,9144,0
765.081,75796,75796,64,9,105,9220,0
780.083,75796,75796,65,9,107,9296,0
795.085,75796,75796,65,9,107,9372,0
810.086,75796,75796,65,9,107,9449,0
825.088,75796,75796,65,9,107,9525,0
840.089,75796,75796,64,9,107,9601,0
855.091,75796,75796,63,9,103,9676,0
870.092,75796,75796,63,9,103,9749,0
885.093,75796,75796,63,9,103,9822,0
900.001,75952,75952,62,9,101,9895,0
