[eg-soak] scenario=sc7_h3terminate duration=960s sample=5s scale=1 bin=/home/ubuntu/Code/eg-target/release/expressgateway
[eg-soak] gateway ready pid=661683 metrics=127.0.0.1:33383 — soaking 960s
[sc7_h3terminate] t=     0s rss=    7.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=     5s rss=   21.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    10s rss=   24.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    15s rss=   23.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    20s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    25s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    30s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    35s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    40s rss=   23.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    45s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    50s rss=   23.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    55s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    60s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    65s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    70s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    75s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    80s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    85s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    90s rss=   24.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=    95s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   100s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   105s rss=   24.2MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   110s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   115s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   120s rss=   24.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   125s rss=   24.7MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   130s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   135s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   140s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   145s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   150s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   155s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   160s rss=   25.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   165s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   170s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   175s rss=   24.5MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   180s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   185s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   190s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   195s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   200s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   205s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   210s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   215s rss=   24.4MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   220s rss=   24.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   225s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   230s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   235s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   240s rss=   25.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   245s rss=   24.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   250s rss=   23.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   255s rss=   23.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   260s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   265s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   270s rss=   24.8MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   275s rss=   24.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   280s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   285s rss=   25.0MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   290s rss=   25.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   295s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   300s rss=   24.3MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   305s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   310s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   315s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   320s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   325s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   330s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   335s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   340s rss=   24.8MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   345s rss=   25.0MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   350s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   355s rss=   25.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   360s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   365s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   370s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   375s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   380s rss=   25.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   385s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   390s rss=   24.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   395s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   400s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   405s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   410s rss=   24.2MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   415s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   420s rss=   25.6MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   425s rss=   24.9MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   430s rss=   24.8MB fds=  12 thr=  9 | panic_total=0
[sc7_h3terminate] t=   435s rss=   24.1MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   440s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   445s rss=   25.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   450s rss=   24.4MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   455s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   460s rss=   24.7MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   465s rss=   24.9MB fds=  11 thr=  9 | panic_total=0
[sc7_h3terminate] t=   470s rss=   24.6MB fds=  11 thr=  9 | panic_total=0
