t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7184,7184,11,10,0
5.001,15016,16220,41,10,0
10.002,14908,16220,39,9,0
15.003,15036,16220,40,9,0
20.004,15060,16220,41,9,0
25.005,14908,16220,39,9,0
30.006,15616,16220,40,9,0
35.007,14932,16344,43,9,0
40.011,16524,16524,41,9,0
45.012,14980,16344,42,9,0
50.013,15244,16344,43,9,0
55.014,15144,16444,41,9,0
60.015,15220,16444,43,9,0
65.016,15884,16508,41,9,0
70.017,15356,16508,40,9,0
75.018,15052,16508,43,9,0
80.019,14972,16508,39,9,0
85.020,15936,16508,43,9,0
90.021,15928,16508,43,9,0
95.022,15940,16508,39,9,0
100.023,15116,16508,39,9,0
105.024,15440,16508,35,9,0
110.025,15260,16508,42,9,0
115.026,14956,16508,43,9,0
120.027,15664,16508,40,9,0
125.028,15036,16508,40,9,0
130.029,15696,16508,39,9,0
135.030,15340,16508,40,9,0
140.031,15764,16508,43,9,0
145.032,15092,16508,42,9,0
150.033,14888,16508,42,9,0
155.035,15540,16508,39,9,0
160.036,15132,16508,41,9,0
165.037,15516,16508,40,9,0
170.038,15068,16508,42,9,0
175.039,15452,16508,42,9,0
180.040,15588,16508,36,9,0
185.041,15264,16508,43,9,0
190.043,15340,16508,43,9,0
195.044,15508,16708,41,9,0
200.045,15132,16708,43,9,0
205.046,16008,16708,42,9,0
210.047,15268,16708,42,9,0
215.048,15316,16708,43,9,0
220.049,15172,16708,42,9,0
225.050,15184,16708,41,9,0
230.051,15388,16708,41,9,0
235.052,15260,16708,42,9,0
240.053,15196,16708,41,9,0
245.054,15220,16708,41,9,0
250.055,15068,16708,41,9,0
255.056,15040,16708,40,9,0
260.057,15004,16708,39,9,0
265.058,15792,16708,39,9,0
270.059,15324,16708,42,9,0
275.060,15016,16708,43,9,0
280.061,15292,16708,39,9,0
285.062,15196,16708,43,9,0
290.063,15260,16708,43,9,0
295.064,15260,16708,42,9,0
300.065,15068,16708,38,9,0
305.066,15456,16708,41,9,0
310.067,14940,16708,43,9,0
315.068,15488,16708,43,9,0
320.069,15332,16708,43,9,0
325.070,15512,16708,41,9,0
330.071,14924,16708,41,9,0
335.072,15260,16708,43,9,0
340.073,14964,16708,43,9,0
345.074,15588,16708,42,9,0
350.075,15068,16708,40,9,0
355.076,15488,16708,41,9,0
360.000,15292,16708,39,9,0
