t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8276,8276,11,10,0
10.003,21684,21844,24,9,0
20.004,22392,22392,21,9,0
30.006,23008,23640,21,9,0
40.007,22644,23640,20,9,0
50.009,22900,23640,20,9,0
60.010,22716,23640,21,9,0
70.012,22680,23640,20,9,0
80.013,23028,23640,20,9,0
90.014,24032,24032,21,9,0
100.016,23424,24072,20,9,0
110.018,23156,24072,21,9,0
120.020,23120,24072,22,9,0
130.022,23216,24072,20,9,0
140.023,23136,24072,20,9,0
150.025,23468,24072,21,9,0
160.026,23640,24072,20,9,0
170.027,23412,24072,21,9,0
180.029,23376,24072,21,9,0
190.030,24624,25016,20,9,0
200.031,23448,25016,20,9,0
210.033,23280,25016,21,9,0
220.034,23592,25016,21,9,0
230.035,23424,25016,22,9,0
240.036,23260,25016,21,9,0
250.037,23316,25016,20,9,0
260.039,23360,25016,22,9,0
270.041,23472,25016,20,9,0
280.043,23564,25016,21,9,0
290.044,23720,25016,22,9,0
300.046,22616,25016,19,9,0
310.047,23420,25016,21,9,0
320.048,24180,25016,20,9,0
330.050,23500,25016,21,9,0
340.052,22728,25016,20,9,0
350.053,23144,25016,21,9,0
360.054,23424,25016,19,9,0
370.056,23456,25016,20,9,0
380.058,23416,25016,22,9,0
390.059,23528,25016,21,9,0
400.061,24116,25016,24,9,0
410.062,23544,25016,22,9,0
420.064,24016,25016,19,9,0
430.065,24168,25016,23,9,0
440.067,24716,25016,22,9,0
450.068,23912,25016,20,9,0
460.069,24408,25016,22,9,0
470.070,23292,25016,21,9,0
480.072,23144,25016,21,9,0
490.073,23412,25016,21,9,0
500.075,23192,25016,20,9,0
510.077,23160,25016,19,9,0
520.078,23488,25016,21,9,0
530.080,23156,25016,21,9,0
540.081,23600,25016,21,9,0
550.082,23808,25016,21,9,0
560.083,23476,25016,20,9,0
570.084,23444,25016,20,9,0
580.086,23500,25016,21,9,0
590.087,23412,25016,22,9,0
600.088,23396,25016,21,9,0
610.089,23512,25016,20,9,0
620.090,23568,25016,21,9,0
630.092,22800,25016,22,9,0
640.093,23452,25016,20,9,0
650.095,23112,25016,21,9,0
660.096,23312,25016,24,9,0
670.097,22940,25016,20,9,0
680.100,22928,25016,21,9,0
690.101,23356,25016,20,9,0
700.103,23220,25016,21,9,0
710.105,24128,25016,20,9,0
720.001,22704,25016,21,9,0
