[eg-soak] scenario=sc9_grpc_h3 duration=900s sample=5s scale=1 bin=/home/ubuntu/Code/eg-target/debug/expressgateway
[eg-soak] gateway ready pid=1247914 metrics=127.0.0.1:36005 — soaking 900s
[sc9_grpc_h3] t=     0s rss=   19.7MB fds=  11 thr= 10 | panic_total=0
[sc9_grpc_h3] t=     5s rss=   32.8MB fds=  12 thr= 10 | panic_total=0
[sc9_grpc_h3] t=    10s rss=   33.6MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    15s rss=   34.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    20s rss=   34.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    25s rss=   34.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    30s rss=   34.6MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    35s rss=   35.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    40s rss=   34.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    45s rss=   34.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    50s rss=   34.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    55s rss=   34.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    60s rss=   35.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    65s rss=   35.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    70s rss=   35.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    75s rss=   35.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    80s rss=   35.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    85s rss=   35.6MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    90s rss=   35.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=    95s rss=   35.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   100s rss=   35.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   105s rss=   35.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   110s rss=   35.2MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   115s rss=   35.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   120s rss=   36.6MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   125s rss=   36.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   130s rss=   36.7MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   135s rss=   36.8MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   140s rss=   36.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   145s rss=   36.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   150s rss=   36.4MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   155s rss=   36.3MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   160s rss=   36.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   165s rss=   37.1MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   170s rss=   36.9MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   175s rss=   36.5MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   180s rss=   36.0MB fds=  12 thr=  9 | panic_total=0
[sc9_grpc_h3] t=   185s rss=   36.3MB fds=  12 thr=  9 | panic_total=0
