t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,20136,20136,11,10,0
5.003,33588,33588,12,10,0
10.005,34396,34396,12,9,0
15.008,35060,35060,12,9,0
20.011,35220,35220,12,9,0
25.013,35080,35080,12,9,0
30.018,35428,35428,12,9,0
35.026,35872,35872,12,9,0
40.030,35564,35564,12,9,0
45.033,35144,35628,12,9,0
50.037,35508,35628,12,9,0
55.041,35708,35708,12,9,0
60.043,36280,36280,12,9,0
65.046,36268,36268,12,9,0
70.049,36768,36768,12,9,0
75.052,36300,36420,12,9,0
80.056,36244,36420,12,9,0
85.059,36420,36420,12,9,0
90.063,35940,36420,12,9,0
95.067,36332,36420,12,9,0
100.072,35840,36420,12,9,0
105.075,36188,36420,12,9,0
110.081,36032,36420,12,9,0
115.086,36292,36420,12,9,0
120.088,37464,37668,12,9,0
125.093,37140,37668,12,9,0
130.095,37576,37668,12,9,0
135.097,37656,37668,12,9,0
140.100,37348,37668,12,9,0
145.109,37336,37668,12,9,0
150.111,37324,37704,12,9,0
155.114,37148,37704,12,9,0
160.116,37352,37704,12,9,0
165.120,37940,37940,12,9,0
170.124,37800,37800,12,9,0
175.130,37360,37704,12,9,0
180.133,36868,37704,12,9,0
185.137,37196,37704,12,9,0
190.139,37500,37704,12,9,0
195.144,37312,37704,12,9,0
200.148,37320,37704,12,9,0
205.150,37432,37704,12,9,0
210.152,37676,37704,12,9,0
215.157,37192,37704,12,9,0
220.165,37492,37704,12,9,0
225.169,37376,37704,12,9,0
230.172,37652,37704,12,9,0
235.177,40664,40664,12,9,0
240.180,40556,40988,12,9,0
245.182,40552,40988,12,9,0
250.187,40912,40988,12,9,0
255.189,40624,40988,12,9,0
260.192,40816,40988,12,9,0
265.194,41160,41160,12,9,0
270.196,40828,40988,12,9,0
275.199,40956,40988,12,9,0
280.201,40548,40988,12,9,0
285.205,40468,40988,12,9,0
290.209,40832,40988,12,9,0
295.212,41132,41132,12,9,0
300.214,41124,41124,12,9,0
305.219,40616,40988,12,9,0
310.222,40680,40988,12,9,0
315.226,40820,40988,12,9,0
320.228,40792,40988,12,9,0
325.231,40956,40988,12,9,0
330.234,40868,40988,12,9,0
335.236,40880,40988,12,9,0
340.241,41204,41204,12,9,0
345.244,40692,40988,12,9,0
350.246,41008,41008,12,9,0
355.248,40440,40988,12,9,0
360.252,41000,41000,12,9,0
365.255,40772,40988,12,9,0
370.260,40852,40988,12,9,0
375.264,41300,41300,12,9,0
380.266,40704,40988,12,9,0
385.271,40760,40988,12,9,0
390.274,41024,41024,12,9,0
395.278,40136,40988,12,9,0
400.281,40692,40988,12,9,0
405.286,40676,40988,12,9,0
410.292,41344,41344,12,9,0
415.294,41328,41328,12,9,0
420.298,40832,41072,12,9,0
425.307,41368,41368,12,9,0
430.310,41208,41208,12,9,0
435.313,41528,41528,12,9,0
440.316,41296,41296,12,9,0
445.320,41112,41112,12,9,0
450.323,41416,41416,12,9,0
455.328,41448,41448,12,9,0
460.330,45448,45448,12,9,0
465.332,45588,45588,12,9,0
470.334,46132,46132,12,9,0
475.338,46304,46304,12,9,0
480.340,46304,46304,12,9,0
