t_secs,rss_kb,vmhwm_kb,fds,threads,quic_modeb_connections,quic_modeb_streams_active,quic_modeb_datagrams_dropped_total,panic_total
0.000,8688,8688,11,9,0,0,0,0
15.001,23640,24264,21,9,10,4,0,0
30.003,23568,24264,20,9,7,4,0,0
45.004,23564,24264,20,9,9,4,0,0
60.006,23756,24264,20,9,7,4,0,0
75.008,24688,24688,20,9,6,4,0,0
90.009,24120,24500,20,9,7,4,0,0
105.011,24700,24928,19,9,6,4,0,0
120.015,25160,25344,19,9,8,4,0,0
135.017,25144,25344,20,9,8,4,0,0
150.020,24960,25344,20,9,5,0,0,0
165.021,24880,25640,19,9,8,4,0,0
180.024,25532,25640,20,9,9,4,0,0
195.027,25220,25640,19,9,7,4,0,0
210.029,25300,25640,20,9,8,4,0,0
225.030,25172,25640,20,9,6,4,0,0
240.033,24980,25640,19,9,8,4,0,0
255.034,24800,25640,19,9,8,4,0,0
270.036,24628,25640,19,9,8,2,0,0
285.038,24252,25640,19,9,4,0,0,0
300.041,24048,25640,19,9,5,4,0,0
315.044,23980,25640,19,9,6,4,0,0
330.045,24044,25640,18,9,7,4,0,0
345.049,24144,25640,18,9,4,3,0,0
360.051,24188,25640,18,9,4,4,0,0
375.053,24208,25640,19,9,4,0,0,0
390.055,23368,25640,19,9,4,0,0,0
405.057,23928,25640,18,9,7,4,0,0
420.059,23432,25640,18,9,4,4,0,0
435.060,23608,25640,17,9,6,4,0,0
450.062,23368,25640,17,9,6,4,0,0
465.066,23608,25640,18,9,7,4,0,0
480.070,23368,25640,16,9,5,4,0,0
495.071,23672,25640,16,9,5,4,0,0
510.072,23492,25640,16,9,4,4,0,0
525.075,23364,25640,16,9,5,2,0,0
540.076,23364,25640,17,9,4,2,0,0
555.079,23492,25640,19,9,5,4,0,0
570.081,23540,25640,19,9,5,4,0,0
585.083,23412,25640,17,9,4,4,0,0
600.085,23364,25640,17,9,6,4,0,0
615.088,23364,25640,18,9,4,4,0,0
630.091,23668,25640,16,9,4,2,0,0
645.094,23364,25640,19,9,4,0,0,0
660.095,23872,25640,18,9,4,4,0,0
675.097,23840,25640,16,9,5,4,0,0
690.098,24048,25640,18,9,4,4,0,0
705.100,23492,25640,15,9,4,4,0,0
720.102,23796,25640,18,9,4,2,0,0
735.104,23492,25640,16,9,4,4,0,0
750.106,24032,25640,17,9,4,2,0,0
765.108,23776,25640,19,9,4,0,0,0
780.111,23688,25640,15,9,4,4,0,0
795.113,23468,25640,16,9,4,4,0,0
810.116,23660,25640,16,9,5,4,0,0
825.118,23356,25640,16,9,4,4,0,0
840.121,23484,25640,16,9,4,4,0,0
855.123,23400,25640,19,9,4,0,0,0
870.124,24056,25640,18,9,4,4,0,0
885.126,23356,25640,17,9,4,4,0,0
900.001,23532,25640,17,9,4,4,0,0
