t_secs,rss_kb,vmhwm_kb,fds,threads,quic_passthrough_flows,quic_passthrough_flows_evicted_total,panic_total
0.000,8920,8920,11,9,0,0,0
15.001,34824,34824,504,9,984,883,0
30.004,56900,56900,335,9,647,1546,0
45.006,61540,61540,251,9,477,2001,0
60.007,62712,62712,223,9,421,2345,0
75.009,62672,62672,203,9,383,2646,0
90.012,63144,63144,187,9,349,2921,0
105.014,63424,63424,175,9,325,3169,0
120.017,63568,63568,164,9,305,3401,0
135.020,63368,63368,154,9,283,3618,0
150.021,63368,63368,138,9,251,3818,0
165.023,63368,63368,132,9,241,3998,0
180.025,63364,63364,121,9,219,4169,0
195.026,63364,63364,121,9,218,4326,0
210.028,63364,63364,115,9,209,4482,0
225.030,63364,63364,116,9,207,4632,0
240.033,63364,63364,111,9,199,4778,0
255.035,63364,63364,106,9,187,4918,0
270.038,63304,63304,102,9,179,5050,0
285.041,63460,63460,99,9,173,5177,0
300.044,63668,63668,98,9,172,5301,0
315.046,63616,63616,90,9,156,5421,0
330.048,63616,63616,88,9,153,5533,0
345.051,63616,63616,93,9,163,5641,0
360.052,63616,63616,89,9,155,5756,0
375.054,63616,63616,87,9,149,5865,0
390.056,63616,63616,82,9,139,5970,0
405.059,63616,63616,69,9,115,6068,0
420.062,63616,63616,80,9,137,6149,0
435.064,63616,63616,80,9,137,6245,0
450.067,63616,63616,77,9,131,6341,0
465.069,63616,63616,76,9,129,6434,0
480.072,63616,63616,77,9,129,6523,0
495.074,63616,63616,75,9,125,6613,0
510.078,63616,63616,72,9,121,6701,0
525.080,63616,63616,73,9,123,6785,0
540.082,63616,63616,74,9,123,6870,0
555.083,63616,63616,72,9,121,6957,0
570.085,63616,63616,72,9,121,7041,0
585.087,63616,63616,71,9,117,7125,0
600.089,63616,63616,70,9,115,7206,0
615.092,63616,63616,68,9,113,7285,0
630.093,63616,63616,66,9,107,7362,0
645.096,63616,63616,60,9,97,7433,0
660.099,63616,63616,59,9,95,7498,0
675.101,63616,63616,59,9,95,7562,0
690.106,63616,63616,55,9,85,7625,0
705.108,63616,63616,53,9,83,7680,0
720.110,63616,63616,55,9,87,7734,0
735.111,63616,63616,54,9,84,7793,0
750.114,63616,63616,50,9,75,7846,0
765.116,63616,63616,48,9,73,7897,0
780.118,63616,63616,44,9,65,7945,0
795.119,63616,63616,47,9,70,7989,0
810.120,63616,63616,47,9,69,8037,0
825.123,63616,63616,45,9,66,8082,0
840.126,63616,63616,46,9,67,8126,0
855.129,63616,63616,48,9,73,8170,0
870.132,63616,63616,50,9,75,8218,0
885.133,63616,63616,48,9,73,8269,0
900.001,63616,63616,47,9,69,8317,0
