t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8432,8432,11,9,0
15.003,23088,23436,11,9,0
30.005,23248,24144,11,9,0
45.008,22404,24144,11,9,0
60.013,22928,24144,11,9,0
75.015,22364,24144,11,9,0
90.016,24312,24756,11,9,0
105.017,23908,24960,11,9,0
120.018,24544,24964,11,9,0
135.020,23872,24964,11,9,0
150.023,23796,24964,11,9,0
165.024,24360,24980,11,9,0
180.026,24800,25048,11,9,0
195.028,24136,25048,11,9,0
210.030,24576,25048,11,9,0
225.032,24520,25208,11,9,0
240.034,24616,25304,11,9,0
255.036,24348,25668,11,9,0
270.038,24804,25896,12,9,0
285.040,23812,25896,11,9,0
300.041,25196,25896,12,9,0
315.042,24296,25896,11,9,0
330.045,25256,25896,11,9,0
345.048,24804,25896,11,9,0
360.049,24596,25896,11,9,0
375.052,24456,25896,11,9,0
390.053,24700,25896,11,9,0
405.055,24388,25904,12,9,0
420.057,25092,25904,11,9,0
435.059,24552,26244,11,9,0
450.061,25124,26244,11,9,0
465.062,25056,26244,11,9,0
480.064,25004,26244,11,9,0
495.067,24648,26244,11,9,0
510.068,24804,26244,12,9,0
525.069,25076,26244,11,9,0
540.071,24660,26244,11,9,0
555.072,24732,26244,11,9,0
570.075,24540,26244,11,9,0
585.077,24852,26244,11,9,0
600.078,24772,26244,11,9,0
615.079,24276,26244,11,9,0
630.080,24988,26244,11,9,0
645.082,24976,26244,11,9,0
660.084,25200,26368,11,9,0
675.085,24576,26368,11,9,0
690.087,25424,26368,11,9,0
705.090,24792,26368,11,9,0
720.092,25364,26368,11,9,0
735.096,24544,26368,11,9,0
750.097,25004,26368,11,9,0
765.098,25320,26368,11,9,0
780.100,24736,26368,11,9,0
795.102,25344,26368,11,9,0
810.104,25040,26368,11,9,0
825.107,25212,26368,11,9,0
840.108,25308,26368,11,9,0
855.110,25688,26368,11,9,0
870.112,25248,26368,12,9,0
885.114,24952,26368,11,9,0
900.001,25364,26368,11,9,0
