t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8140,8140,11,10,0
15.001,21412,21432,12,9,0
30.002,21820,21820,12,9,0
45.003,21768,22128,12,9,0
60.004,23564,23644,12,9,0
75.005,23476,23976,12,9,0
90.006,23448,23976,12,9,0
105.008,26756,26756,12,9,0
120.009,26520,26744,12,9,0
135.010,26996,26996,12,9,0
150.012,27332,27332,12,9,0
165.013,26868,26952,12,9,0
180.015,27164,27164,12,9,0
195.016,27264,27264,12,9,0
210.017,31464,31464,12,9,0
225.018,31884,31884,12,9,0
240.020,32104,32104,12,9,0
255.021,32396,32396,12,9,0
270.023,32512,32512,12,9,0
285.024,32708,32708,12,9,0
300.025,32780,32780,12,9,0
315.026,32824,32824,12,9,0
330.027,32824,32824,12,9,0
345.029,32948,32948,12,9,0
360.030,32956,32956,12,9,0
375.031,33016,33016,12,9,0
390.032,33052,33052,12,9,0
405.033,33116,33116,12,9,0
420.034,40028,40812,12,9,0
435.035,40056,40812,12,9,0
450.037,40080,40812,12,9,0
465.038,40080,40812,12,9,0
480.039,40092,40812,12,9,0
495.040,40120,40812,12,9,0
510.041,40120,40812,12,9,0
525.042,40128,40812,12,9,0
540.043,40128,40812,12,9,0
555.045,40128,40812,12,9,0
570.046,40136,40812,12,9,0
585.047,40136,40812,12,9,0
600.048,40136,40812,12,9,0
615.049,40144,40812,12,9,0
630.050,40144,40812,12,9,0
645.052,40144,40812,12,9,0
660.053,40144,40812,12,9,0
675.054,40144,40812,12,9,0
690.056,40156,40812,12,9,0
705.057,40156,40812,12,9,0
720.058,40156,40812,12,9,0
735.059,40156,40812,12,9,0
750.061,40156,40812,12,9,0
765.063,40268,40812,12,9,0
780.064,40276,40812,12,9,0
795.065,40276,40812,12,9,0
810.066,40276,40812,12,9,0
825.067,54100,56136,12,9,0
840.068,54104,56136,12,9,0
855.069,54104,56136,12,9,0
870.070,54104,56136,12,9,0
885.071,54140,56136,12,9,0
900.072,54140,56136,13,9,0
915.073,54140,56136,12,9,0
930.074,54140,56136,13,9,0
945.075,54140,56136,12,9,0
960.077,54140,56136,12,9,0
975.078,54140,56136,12,9,0
990.079,54160,56136,12,9,0
1005.080,54176,56136,12,9,0
1020.081,54176,56136,12,9,0
1035.082,54176,56136,12,9,0
1050.083,54176,56136,12,9,0
1065.085,54176,56136,12,9,0
1080.086,54176,56136,12,9,0
1095.087,54176,56136,12,9,0
1110.089,54176,56136,12,9,0
1125.090,54192,56136,12,9,0
1140.091,54192,56136,12,9,0
1155.092,54192,56136,12,9,0
1170.093,54212,56136,12,9,0
1185.095,54212,56136,12,9,0
1200.096,54212,56136,12,9,0
1215.098,54212,56136,12,9,0
1230.099,54212,56136,12,9,0
1245.100,54212,56136,12,9,0
1260.101,54212,56136,12,9,0
1275.102,54228,56136,12,9,0
1290.103,54240,56136,12,9,0
1305.105,54240,56136,12,9,0
1320.106,54240,56136,12,9,0
1335.107,54240,56136,12,9,0
1350.109,54240,56136,12,9,0
1365.110,54240,56136,12,9,0
1380.112,54240,56136,12,9,0
1395.113,54240,56136,12,9,0
1410.114,54240,56136,12,9,0
1425.115,54244,56136,12,9,0
1440.116,54244,56136,12,9,0
1455.117,54244,56136,12,9,0
1470.118,54256,56136,12,9,0
1485.120,54256,56136,12,9,0
1500.121,54256,56136,12,9,0
1515.122,54256,56136,12,9,0
1530.123,54256,56136,12,9,0
1545.124,54256,56136,12,9,0
1560.125,54256,56136,12,9,0
1575.126,54256,56136,12,9,0
1590.128,54256,56136,12,9,0
1605.129,54256,56136,12,9,0
1620.131,54256,56136,12,9,0
1635.132,54256,56136,12,9,0
1650.134,81904,86324,12,9,0
1665.136,81904,86324,12,9,0
1680.139,81904,86324,12,9,0
1695.140,81904,86324,12,9,0
1710.141,81904,86324,12,9,0
1725.142,81904,86324,12,9,0
1740.144,81944,86324,12,9,0
1755.145,81944,86324,12,9,0
1770.146,81944,86324,12,9,0
1785.148,81944,86324,12,9,0
1800.001,81944,86324,12,9,0
