t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8040,8040,11,10,0
15.002,21608,21608,12,9,0
30.004,21880,21884,12,9,0
45.005,21888,22064,12,9,0
60.006,23564,23564,12,9,0
75.007,23576,23932,12,9,0
90.008,23328,23932,12,9,0
105.009,26160,26160,12,9,0
120.011,26220,26324,12,9,0
135.012,26608,26608,12,9,0
150.013,26528,26528,12,9,0
165.014,25792,26324,12,9,0
180.015,26684,26684,12,9,0
195.019,26456,26544,12,9,0
210.020,30120,30132,12,9,0
225.021,31824,31824,12,9,0
240.022,32128,32128,12,9,0
255.023,32156,32156,12,9,0
270.024,32168,32168,12,9,0
285.026,32360,32360,12,9,0
300.027,32388,32388,12,9,0
315.028,32400,32400,12,9,0
330.029,32424,32424,12,9,0
345.030,32424,32424,12,9,0
360.031,32424,32424,12,9,0
375.032,32596,32596,12,9,0
390.033,32652,32652,12,9,0
405.035,32652,32652,12,9,0
420.037,39620,40164,12,9,0
435.038,39644,40164,12,9,0
450.039,39692,40164,12,9,0
465.041,39692,40164,12,9,0
480.043,39692,40164,12,9,0
495.045,39728,40164,12,9,0
510.046,39880,40164,12,9,0
525.047,39948,40164,12,9,0
540.048,40056,40164,12,9,0
555.050,40120,40164,12,9,0
570.051,40120,40164,12,9,0
585.052,40196,40196,12,9,0
600.054,40196,40196,12,9,0
615.055,40232,40232,12,9,0
630.060,40264,40264,12,9,0
645.061,40320,40320,12,9,0
660.062,40400,40400,12,9,0
675.063,40400,40400,12,9,0
690.067,40536,40536,12,9,0
705.068,40640,40640,12,9,0
720.070,40660,40660,12,9,0
735.071,40660,40660,13,9,0
750.076,40724,40724,12,9,0
765.079,40940,40940,12,9,0
780.081,40940,40940,12,9,0
795.082,40940,40940,12,9,0
810.084,40940,40940,12,9,0
825.085,40844,40844,12,9,0
840.087,40844,40844,12,9,0
855.088,54668,56396,12,9,0
870.089,54668,56396,12,9,0
885.090,54668,56396,12,9,0
900.092,54668,56396,12,9,0
915.093,54668,56396,12,9,0
930.094,54668,56396,12,9,0
945.096,54668,56396,12,9,0
960.098,54696,56396,12,9,0
975.099,54696,56396,12,9,0
990.101,54696,56396,12,9,0
1005.102,54700,56396,12,9,0
1020.103,54700,56396,12,9,0
1035.105,54700,56396,12,9,0
1050.107,54732,56396,12,9,0
1065.108,54732,56396,12,9,0
1080.109,54732,56396,12,9,0
1095.111,54732,56396,12,9,0
1110.112,54732,56396,12,9,0
1125.113,54732,56396,12,9,0
1140.115,54732,56396,12,9,0
1155.116,54732,56396,12,9,0
1170.117,54732,56396,12,9,0
1185.118,54732,56396,12,9,0
1200.121,54732,56396,12,9,0
1215.122,54732,56396,12,9,0
1230.123,54732,56396,12,9,0
1245.125,54732,56396,12,9,0
1260.126,54732,56396,12,9,0
1275.127,54732,56396,12,9,0
1290.129,54732,56396,12,9,0
1305.130,54732,56396,12,9,0
1320.131,54732,56396,12,9,0
1335.132,54732,56396,12,9,0
1350.133,54732,56396,12,9,0
1365.134,54744,56396,12,9,0
1380.135,54744,56396,12,9,0
1395.136,54744,56396,12,9,0
1410.137,54744,56396,12,9,0
1425.138,54744,56396,12,9,0
1440.139,54744,56396,12,9,0
1455.141,54744,56396,12,9,0
1470.142,54744,56396,12,9,0
1485.143,54744,56396,12,9,0
1500.144,54744,56396,12,9,0
1515.145,54744,56396,12,9,0
1530.146,54744,56396,12,9,0
1545.147,54744,56396,12,9,0
1560.148,54744,56396,12,9,0
1575.150,54744,56396,12,9,0
1590.151,54744,56396,12,9,0
1605.153,54744,56396,12,9,0
1620.154,54744,56396,12,9,0
1635.156,54744,56396,12,9,0
1650.157,54744,56396,12,9,0
1665.158,54744,56396,12,9,0
1680.159,68616,72704,12,9,0
1695.160,82456,86684,12,9,0
1710.162,82456,86684,12,9,0
1725.164,82456,86684,12,9,0
1740.165,82456,86684,12,9,0
1755.167,82456,86684,12,9,0
1770.168,82456,86684,12,9,0
1785.170,82456,86684,12,9,0
1800.002,82456,86684,12,9,0
