t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8120,8120,11,10,0
15.002,22808,22808,12,9,0
30.003,22716,23152,12,9,0
45.005,22864,23244,12,9,0
60.007,23728,24248,12,9,0
75.008,23868,24248,12,9,0
90.009,23908,24248,12,9,0
105.010,27148,27148,12,9,0
120.011,26800,26880,12,9,0
135.012,26796,26912,12,9,0
150.013,26476,26912,12,9,0
165.014,26524,26912,12,9,0
180.015,26896,26912,12,9,0
195.016,26680,26912,12,9,0
210.017,31704,31704,12,9,0
225.019,32892,32892,12,9,0
240.020,32952,32952,12,9,0
255.022,33052,33052,12,9,0
270.023,33224,33224,12,9,0
285.024,33356,33356,12,9,0
300.025,33448,33448,12,9,0
315.028,33624,33624,12,9,0
330.031,33856,33856,12,9,0
345.032,33864,33864,12,9,0
360.034,33952,33952,12,9,0
375.035,33952,33952,12,9,0
390.036,33952,33952,12,9,0
405.037,34004,34004,12,9,0
420.039,38696,39312,12,9,0
435.040,41000,41804,12,9,0
450.041,41032,41804,12,9,0
465.042,41032,41804,12,9,0
480.043,41032,41804,12,9,0
495.044,41032,41804,12,9,0
510.045,41032,41804,12,9,0
525.046,41032,41804,12,9,0
540.048,41032,41804,12,9,0
555.049,41032,41804,12,9,0
570.050,41032,41804,12,9,0
585.052,41032,41804,12,9,0
600.053,41032,41804,13,9,0
615.054,41032,41804,12,9,0
630.055,41104,41804,12,9,0
645.057,41104,41804,12,9,0
660.058,41104,41804,12,9,0
675.059,41104,41804,12,9,0
690.060,41104,41804,12,9,0
705.061,41104,41804,12,9,0
720.062,41104,41804,12,9,0
735.063,41104,41804,12,9,0
750.064,41104,41804,12,9,0
765.065,41104,41804,12,9,0
780.066,41144,41804,12,9,0
795.068,41144,41804,12,9,0
810.069,41144,41804,12,9,0
825.071,41144,41804,12,9,0
840.072,54968,57036,12,9,0
855.073,54968,57036,12,9,0
870.074,54968,57036,12,9,0
885.075,54976,57036,12,9,0
900.001,54976,57036,12,9,0
