t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8224,8224,11,10,0
15.002,17192,17192,12,9,0
30.003,18320,18320,12,9,0
45.004,18348,18348,12,9,0
60.007,19228,19248,12,9,0
75.009,19248,19248,12,9,0
90.011,19252,19252,12,9,0
105.012,19288,19288,12,9,0
120.013,21060,21060,12,9,0
135.014,21060,21060,12,9,0
150.015,21084,21084,12,9,0
165.016,21096,21096,12,9,0
180.017,21096,21096,12,9,0
195.019,21116,21116,12,9,0
210.021,21124,21124,12,9,0
225.021,24600,25004,12,9,0
240.022,24604,25004,12,9,0
255.024,24608,25004,12,9,0
270.025,24608,25004,12,9,0
285.027,24608,25004,12,9,0
300.029,24616,25004,12,9,0
315.030,24620,25004,12,9,0
330.031,24620,25004,12,9,0
345.032,24620,25004,12,9,0
360.033,24636,25004,12,9,0
375.034,24636,25004,12,9,0
390.036,24636,25004,12,9,0
405.037,24636,25004,12,9,0
420.038,24636,25004,12,9,0
435.039,24636,25004,12,9,0
450.040,31548,32552,12,9,0
465.041,31548,32552,12,9,0
480.044,31548,32552,12,9,0
495.044,31548,32552,12,9,0
510.047,31548,32552,12,9,0
525.048,31548,32552,12,9,0
540.050,31548,32552,12,9,0
555.052,31548,32552,12,9,0
570.053,31548,32552,12,9,0
585.055,31548,32552,12,9,0
600.056,31548,32552,12,9,0
615.058,31548,32552,12,9,0
630.059,31548,32552,12,9,0
645.060,31548,32552,12,9,0
660.062,31548,32552,12,9,0
675.063,31548,32552,12,9,0
690.064,31548,32552,12,9,0
705.066,31548,32552,12,9,0
720.068,31548,32552,12,9,0
735.069,31548,32552,12,9,0
750.070,31548,32552,12,9,0
765.072,31548,32552,12,9,0
780.073,31548,32552,12,9,0
795.074,31548,32552,12,9,0
810.075,31548,32552,12,9,0
825.077,31548,32552,12,9,0
840.079,31548,32552,12,9,0
855.080,31548,32552,12,9,0
870.082,31548,32552,12,9,0
885.083,31548,32552,12,9,0
900.001,45372,47460,12,9,0
