t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8192,8192,11,10,0
15.002,21256,21272,12,9,0
30.004,22112,22204,12,9,0
45.006,21784,22236,12,9,0
60.007,23196,23336,12,9,0
75.008,23140,23488,12,9,0
90.010,23384,23508,12,9,0
105.011,26236,26236,12,9,0
120.012,26616,26616,12,9,0
135.013,27136,27136,12,9,0
150.014,27132,27132,12,9,0
165.015,26952,26952,12,9,0
180.018,26840,26840,12,9,0
195.019,26672,26832,12,9,0
210.020,31008,31008,12,9,0
225.021,31644,31644,12,9,0
240.022,31756,31756,12,9,0
255.023,31868,31868,12,9,0
270.024,31968,31968,12,9,0
285.025,32108,32108,12,9,0
300.026,31700,31700,12,9,0
315.027,32116,32116,12,9,0
330.028,32160,32160,12,9,0
345.029,32268,32268,12,9,0
360.030,32276,32276,12,9,0
375.031,32280,32280,12,9,0
390.032,32300,32300,12,9,0
405.033,32340,32340,12,9,0
420.034,39312,39988,12,9,0
435.035,39316,39988,12,9,0
450.037,39316,39988,12,9,0
465.038,39404,39988,12,9,0
480.040,39420,39988,12,9,0
495.041,39472,39988,12,9,0
510.043,39480,39988,12,9,0
525.046,39480,39988,12,9,0
540.047,39480,39988,12,9,0
555.048,39480,39988,12,9,0
570.050,39480,39988,12,9,0
585.051,39480,39988,12,9,0
600.052,39052,39988,12,9,0
615.053,39516,39988,12,9,0
630.054,39592,39988,12,9,0
645.056,39596,39988,12,9,0
660.057,39616,39988,12,9,0
675.058,39648,39988,12,9,0
690.059,39648,39988,12,9,0
705.060,39648,39988,12,9,0
720.061,39648,39988,12,9,0
735.062,39648,39988,12,9,0
750.063,39648,39988,12,9,0
765.065,39648,39988,12,9,0
780.066,39648,39988,12,9,0
795.067,39676,39988,12,9,0
810.068,39700,39988,12,9,0
825.069,53536,55376,12,9,0
840.070,53536,55376,12,9,0
855.071,53540,55376,12,9,0
870.072,53560,55376,12,9,0
885.073,53560,55376,12,9,0
900.074,53128,55376,12,9,0
915.075,53484,55376,12,9,0
930.076,53488,55376,12,9,0
945.077,53496,55376,12,9,0
960.078,53512,55376,12,9,0
975.079,53540,55376,12,9,0
990.081,53556,55376,12,9,0
1005.082,53556,55376,12,9,0
1020.083,53556,55376,12,9,0
1035.086,53616,55376,12,9,0
1050.091,55276,55376,12,9,0
1065.093,55840,55840,12,9,0
1080.095,55992,55992,12,9,0
1095.096,56044,56044,12,9,0
1110.098,56044,56044,12,9,0
1125.100,56044,56044,12,9,0
1140.101,56044,56044,12,9,0
1155.102,56044,56044,12,9,0
1170.103,56044,56044,12,9,0
1185.104,56044,56044,12,9,0
1200.105,55760,55760,12,9,0
1215.106,56024,56024,12,9,0
1230.107,56036,56036,12,9,0
1245.108,56040,56040,12,9,0
1260.109,56040,56040,12,9,0
1275.111,56040,56040,12,9,0
1290.112,56040,56040,12,9,0
1305.114,56040,56040,12,9,0
1320.115,56040,56040,12,9,0
1335.116,56040,56040,12,9,0
1350.117,56040,56040,12,9,0
1365.118,56040,56040,12,9,0
1380.119,56040,56040,12,9,0
1395.120,56040,56040,12,9,0
1410.121,56040,56040,12,9,0
1425.123,56040,56040,12,9,0
1440.124,56040,56040,12,9,0
1455.125,56040,56040,12,9,0
1470.126,56044,56044,12,9,0
1485.127,56044,56044,12,9,0
1500.128,55824,55824,12,9,0
1515.129,55988,55988,12,9,0
1530.130,56016,56016,12,9,0
1545.131,56016,56016,12,9,0
1560.132,56016,56016,12,9,0
1575.134,56016,56016,12,9,0
1590.136,56016,56016,12,9,0
1605.137,56044,56044,12,9,0
1620.138,56044,56044,12,9,0
1635.139,56044,56044,12,9,0
1650.141,56044,56044,12,9,0
1665.142,83692,87820,12,9,0
1680.143,83692,87820,12,9,0
1695.145,83692,87820,12,9,0
1710.147,83692,87820,12,9,0
1725.148,83692,87820,12,9,0
1740.149,83692,87820,12,9,0
1755.150,83692,87820,12,9,0
1770.151,83692,87820,12,9,0
1785.152,83692,87820,12,9,0
1800.001,83452,87820,12,9,0
