t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8412,8412,11,10,0
15.002,22004,22004,12,9,0
30.004,23120,23128,12,9,0
45.005,23272,23544,12,9,0
60.006,25504,25504,12,9,0
75.007,25724,25724,13,9,0
90.008,25600,25848,12,9,0
105.009,27860,27860,12,9,0
120.010,28668,28668,12,9,0
135.011,29180,29180,12,9,0
150.012,29632,29632,12,9,0
165.014,29632,29632,12,9,0
180.015,29660,29660,12,9,0
195.016,29220,29612,12,9,0
210.018,34460,34460,12,9,0
225.019,35064,35064,12,9,0
240.020,35476,35476,12,9,0
255.022,35696,35696,12,9,0
270.023,35944,35944,12,9,0
285.024,36364,36364,12,9,0
300.025,36656,36656,12,9,0
315.026,36904,36904,12,9,0
330.027,37276,37276,12,9,0
345.028,37520,37520,12,9,0
360.029,37756,37756,12,9,0
375.030,37964,37964,12,9,0
390.032,38172,38172,12,9,0
405.034,38508,38508,12,9,0
420.035,38700,38700,12,9,0
435.036,38904,38904,12,9,0
450.037,39108,39108,12,9,0
465.038,39300,39300,12,9,0
480.039,39380,39380,12,9,0
495.040,39404,39404,12,9,0
510.041,39428,39428,12,9,0
525.042,39428,39428,12,9,0
540.043,39428,39428,12,9,0
555.044,39428,39428,12,9,0
570.045,39428,39428,12,9,0
585.046,39428,39428,12,9,0
600.048,39428,39428,12,9,0
615.049,39476,39476,12,9,0
630.050,39476,39476,12,9,0
645.051,39484,39484,12,9,0
660.053,39484,39484,12,9,0
675.054,39484,39484,12,9,0
690.056,39484,39484,12,9,0
705.057,39484,39484,12,9,0
720.058,39484,39484,12,9,0
735.059,39484,39484,12,9,0
750.060,39484,39484,12,9,0
765.062,39484,39484,12,9,0
780.063,39500,39500,12,9,0
795.064,39516,39516,12,9,0
810.065,39516,39516,12,9,0
825.066,39516,39516,12,9,0
840.067,39516,39516,12,9,0
855.068,39516,39516,12,9,0
870.069,39516,39516,12,9,0
885.070,39516,39516,12,9,0
900.071,39516,39516,12,9,0
915.072,39516,39516,12,9,0
930.073,39516,39516,12,9,0
945.074,39516,39516,12,9,0
960.075,39516,39516,12,9,0
975.076,39516,39516,12,9,0
990.077,39516,39516,12,9,0
1005.078,39516,39516,12,9,0
1020.080,39516,39516,12,9,0
1035.081,39540,39540,12,9,0
1050.082,39540,39540,12,9,0
1065.083,39540,39540,12,9,0
1080.084,39540,39540,12,9,0
1095.085,39540,39540,12,9,0
1110.086,39540,39540,12,9,0
1125.087,39588,39588,12,9,0
1140.089,39596,39596,12,9,0
1155.090,39596,39596,12,9,0
1170.092,39596,39596,12,9,0
1185.093,39596,39596,12,9,0
1200.094,39596,39596,12,9,0
1215.095,39596,39596,12,9,0
1230.096,39596,39596,12,9,0
1245.097,39656,39656,12,9,0
1260.099,39656,39656,12,9,0
1275.100,39656,39656,12,9,0
1290.101,39656,39656,12,9,0
1305.102,39656,39656,12,9,0
1320.104,39668,39668,12,9,0
1335.105,39668,39668,12,9,0
1350.106,39668,39668,12,9,0
1365.108,39668,39668,12,9,0
1380.110,39668,39668,12,9,0
1395.111,39668,39668,12,9,0
1410.112,39668,39668,12,9,0
1425.114,39668,39668,12,9,0
1440.115,39668,39668,12,9,0
1455.116,39668,39668,12,9,0
1470.117,39668,39668,12,9,0
1485.118,39688,39688,12,9,0
1500.119,39688,39688,12,9,0
1515.121,39760,39760,12,9,0
1530.122,39760,39760,12,9,0
1545.123,39760,39760,12,9,0
1560.124,39760,39760,12,9,0
1575.126,39760,39760,12,9,0
1590.129,39760,39760,12,9,0
1605.130,39760,39760,12,9,0
1620.133,39760,39760,12,9,0
1635.134,39760,39760,12,9,0
1650.135,39760,39760,12,9,0
1665.136,39760,39760,12,9,0
1680.137,39760,39760,12,9,0
1695.139,39760,39760,12,9,0
1710.141,39760,39760,12,9,0
1725.142,39760,39760,12,9,0
1740.144,39760,39760,12,9,0
1755.145,39760,39760,12,9,0
1770.147,39760,39760,12,9,0
1785.148,39760,39760,12,9,0
1800.001,39760,39760,12,9,0
