t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8472,8472,11,10,0
15.002,21172,21260,12,9,0
30.003,21712,21912,12,9,0
45.004,22180,22180,12,9,0
60.005,23144,23356,12,9,0
75.007,23200,23356,12,9,0
90.008,23904,23904,12,9,0
105.009,26432,26432,12,9,0
120.010,27432,27432,12,9,0
135.011,26732,26756,12,9,0
150.013,27008,27008,12,9,0
165.014,26688,26860,12,9,0
180.015,26392,26860,12,9,0
195.017,26840,26860,12,9,0
210.019,30664,30664,12,9,0
225.020,31324,31324,12,9,0
240.021,31604,31604,12,9,0
255.022,32016,32016,12,9,0
270.023,32136,32136,12,9,0
285.024,32240,32240,12,9,0
300.025,32252,32252,12,9,0
315.026,32260,32260,13,9,0
330.028,32416,32416,12,9,0
345.028,32460,32460,12,9,0
360.029,32656,32656,12,9,0
375.030,32656,32656,12,9,0
390.031,32792,32792,12,9,0
405.032,32884,32884,12,9,0
420.033,39828,40508,12,9,0
435.034,39844,40508,12,9,0
450.036,39848,40508,12,9,0
465.037,39872,40508,12,9,0
480.038,39920,40508,12,9,0
495.039,39920,40508,12,9,0
510.040,39920,40508,12,9,0
525.042,39920,40508,12,9,0
540.044,39932,40508,12,9,0
555.045,39940,40508,12,9,0
570.046,39956,40508,12,9,0
585.048,39956,40508,12,9,0
600.049,40012,40508,12,9,0
615.050,40012,40508,12,9,0
630.052,40032,40508,12,9,0
645.053,40032,40508,12,9,0
660.054,40032,40508,12,9,0
675.055,40032,40508,12,9,0
690.057,40032,40508,12,9,0
705.057,40032,40508,12,9,0
720.059,40032,40508,12,9,0
735.061,40032,40508,12,9,0
750.062,40032,40508,12,9,0
765.064,40052,40508,12,9,0
780.065,40052,40508,12,9,0
795.066,40052,40508,12,9,0
810.067,40052,40508,12,9,0
825.069,40116,40508,12,9,0
840.069,53940,55840,12,9,0
855.071,53940,55840,12,9,0
870.072,53940,55840,12,9,0
885.073,53940,55840,12,9,0
900.075,53940,55840,12,9,0
915.077,53968,55840,12,9,0
930.079,53968,55840,12,9,0
945.081,53968,55840,12,9,0
960.081,53968,55840,12,9,0
975.082,53968,55840,12,9,0
990.083,53968,55840,12,9,0
1005.084,53968,55840,12,9,0
1020.085,53968,55840,12,9,0
1035.086,53980,55840,12,9,0
1050.087,53984,55840,12,9,0
1065.088,53984,55840,12,9,0
1080.089,53992,55840,12,9,0
1095.090,53992,55840,12,9,0
1110.091,53992,55840,12,9,0
1125.092,53992,55840,12,9,0
1140.093,54052,55840,12,9,0
1155.094,54052,55840,12,9,0
1170.095,54060,55840,12,9,0
1185.096,54060,55840,12,9,0
1200.097,54060,55840,12,9,0
1215.098,54064,55840,12,9,0
1230.100,54064,55840,12,9,0
1245.101,54064,55840,12,9,0
1260.102,54132,55840,12,9,0
1275.103,54140,55840,12,9,0
1290.105,54180,55840,12,9,0
1305.106,54180,55840,12,9,0
1320.107,54180,55840,12,9,0
1335.109,54180,55840,12,9,0
1350.110,54180,55840,12,9,0
1365.112,54180,55840,12,9,0
1380.113,54180,55840,12,9,0
1395.115,54180,55840,12,9,0
1410.115,54196,55840,12,9,0
1425.116,54196,55840,12,9,0
1440.117,54196,55840,12,9,0
1455.118,54220,55840,12,9,0
1470.119,54220,55840,12,9,0
1485.121,54244,55840,12,9,0
1500.122,54244,55840,12,9,0
1515.124,54244,55840,12,9,0
1530.125,54304,55840,12,9,0
1545.127,54360,55840,12,9,0
1560.129,54364,55840,12,9,0
1575.131,54364,55840,12,9,0
1590.133,54364,55840,12,9,0
1605.134,54364,55840,12,9,0
1620.135,54364,55840,12,9,0
1635.136,54436,55840,12,9,0
1650.138,54436,55840,12,9,0
1665.139,59044,62880,12,9,0
1680.141,82084,86260,12,9,0
1695.142,82120,86260,12,9,0
1710.144,82120,86260,12,9,0
1725.146,82120,86260,12,9,0
1740.147,82120,86260,12,9,0
1755.148,82120,86260,12,9,0
1770.149,82120,86260,12,9,0
1785.150,82120,86260,12,9,0
1800.001,82120,86260,12,9,0
