t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,7920,7920,11,10,0
12.002,21708,21960,12,9,0
24.003,21956,22096,12,9,0
36.005,22192,22504,12,9,0
48.006,22644,22664,12,9,0
60.007,22588,22776,12,9,0
72.009,22884,22960,12,9,0
84.010,22532,22960,12,9,0
96.011,23132,23132,12,9,0
108.012,22516,23140,12,9,0
120.013,23004,23140,12,9,0
132.015,22652,23244,12,9,0
144.016,22592,23244,12,9,0
156.018,22772,23244,12,9,0
168.020,22176,23244,12,9,0
180.021,22172,23244,12,9,0
192.023,22532,23244,12,9,0
204.025,21932,23244,12,9,0
216.026,22308,23244,12,9,0
228.027,22128,23244,12,9,0
240.028,21524,23244,12,9,0
252.029,22216,23244,12,9,0
264.030,22108,23244,12,9,0
276.031,22064,23244,12,9,0
288.032,22408,23244,12,9,0
300.033,21968,23244,12,9,0
312.035,21900,23244,12,9,0
324.036,22516,23244,12,9,0
336.037,22284,23244,12,9,0
348.038,22044,23244,12,9,0
360.040,21732,23244,12,9,0
372.041,21744,23244,12,9,0
384.042,22076,23244,12,9,0
396.044,22220,23244,12,9,0
408.045,22356,23244,12,9,0
420.046,22260,23244,12,9,0
432.048,22208,23244,12,9,0
444.049,22336,23244,12,9,0
456.051,22124,23244,12,9,0
468.052,22184,23244,12,9,0
480.053,22076,23244,12,9,0
492.054,22008,23244,12,9,0
504.055,21764,23244,12,9,0
516.056,22244,23244,12,9,0
528.057,22124,23244,12,9,0
540.058,21980,23244,12,9,0
552.059,21848,23244,12,9,0
564.060,22172,23244,12,9,0
576.061,22168,23244,12,9,0
588.063,22276,23244,12,9,0
600.064,21880,23244,12,9,0
612.067,21944,23244,12,9,0
624.068,22428,23244,12,9,0
636.069,22356,23244,12,9,0
648.070,22424,23244,12,9,0
660.071,22108,23244,12,9,0
672.072,22116,23244,12,9,0
684.074,21872,23244,12,9,0
696.075,22840,23244,12,9,0
708.076,23312,23400,12,9,0
720.077,21900,23432,12,9,0
732.078,22348,23432,12,9,0
744.079,21864,23432,12,9,0
756.081,22104,23432,12,9,0
768.082,22348,23432,13,9,0
780.084,22212,23432,12,9,0
792.085,22012,23432,12,9,0
804.086,22204,23432,12,9,0
816.087,21860,23432,12,9,0
828.088,22200,23432,12,9,0
840.090,21976,23432,12,9,0
852.091,22488,23432,12,9,0
864.092,21724,23432,12,9,0
876.093,22180,23432,12,9,0
888.094,21672,23432,12,9,0
900.095,21972,23432,12,9,0
912.097,22348,23432,12,9,0
924.098,22088,23432,12,9,0
936.100,21644,23432,12,9,0
948.101,22128,23432,12,9,0
960.102,21976,23432,12,9,0
972.103,21732,23432,12,9,0
984.104,22040,23432,12,9,0
996.105,21760,23432,12,9,0
1008.107,21788,23432,12,9,0
1020.109,22320,23432,12,9,0
1032.110,22192,23432,12,9,0
1044.111,22120,23432,12,9,0
1056.112,22040,23432,12,9,0
1068.113,21824,23432,12,9,0
1080.114,22032,23432,12,9,0
1092.115,22668,23432,12,9,0
1104.116,22380,23432,12,9,0
1116.118,21932,23432,12,9,0
1128.119,22496,23432,12,9,0
1140.121,21976,23432,12,9,0
1152.123,22004,23432,12,9,0
1164.124,22260,23432,12,9,0
1176.126,22200,23432,12,9,0
1188.128,22204,23432,12,9,0
1200.129,22096,23432,13,9,0
1212.131,22388,23432,12,9,0
1224.133,22372,23432,12,9,0
1236.134,22472,23432,12,9,0
1248.135,22344,23432,12,9,0
1260.136,22376,23432,12,9,0
1272.137,22232,23432,12,9,0
1284.138,22376,23432,12,9,0
1296.139,22020,23432,12,9,0
1308.140,22084,23432,12,9,0
1320.141,21992,23432,12,9,0
1332.142,21940,23432,12,9,0
1344.143,22316,23432,12,9,0
1356.144,22204,23432,12,9,0
1368.145,22080,23432,12,9,0
1380.147,22372,23432,12,9,0
1392.148,21996,23432,12,9,0
1404.149,21952,23432,12,9,0
1416.150,22536,23432,12,9,0
1428.152,22456,23432,12,9,0
1440.153,21928,23432,12,9,0
1452.156,22124,23432,12,9,0
1464.158,22288,23432,12,9,0
1476.159,22216,23432,12,9,0
1488.161,21852,23432,12,9,0
1500.162,22112,23432,12,9,0
1512.164,21904,23432,12,9,0
1524.165,21692,23432,12,9,0
1536.166,21836,23432,12,9,0
1548.167,21644,23432,12,9,0
1560.168,22268,23432,12,9,0
1572.169,21944,23432,12,9,0
1584.170,21968,23432,12,9,0
1596.171,22472,23432,12,9,0
1608.172,22052,23432,12,9,0
1620.173,22088,23432,12,9,0
1632.174,22364,23432,12,9,0
1644.175,21600,23432,12,9,0
1656.176,22056,23432,12,9,0
1668.178,22508,23432,12,9,0
1680.179,22108,23432,12,9,0
1692.181,21928,23432,12,9,0
1704.182,21972,23432,12,9,0
1716.183,22296,23432,12,9,0
1728.184,22076,23432,12,9,0
1740.185,21956,23432,12,9,0
1752.186,22552,23432,12,9,0
1764.188,21844,23432,12,9,0
1776.190,21692,23432,12,9,0
1788.191,22232,23432,12,9,0
1800.001,22036,23432,12,9,0
