t_secs,rss_kb,vmhwm_kb,fds,threads,panic_total
0.000,8320,8320,11,10,0
12.002,22396,22408,12,9,0
24.004,22360,22408,12,9,0
36.005,22496,22600,12,9,0
48.006,22476,22648,12,9,0
60.008,24052,24148,12,9,0
72.009,23980,24148,12,9,0
84.010,24372,24372,12,9,0
96.011,23988,24192,12,9,0
108.012,26968,26968,12,9,0
120.014,27152,27152,12,9,0
132.015,26932,26932,12,9,0
144.016,27316,27316,12,9,0
156.018,27336,27336,12,9,0
168.019,27528,27528,12,9,0
180.021,27152,27152,12,9,0
192.023,27016,27032,12,9,0
204.024,27244,27244,12,9,0
216.025,31320,31320,12,9,0
228.027,31808,31808,12,9,0
240.029,31996,31996,12,9,0
252.030,32040,32040,12,9,0
264.032,32040,32040,12,9,0
276.034,32200,32200,12,9,0
288.036,32264,32264,12,9,0
300.036,32280,32280,12,9,0
312.037,32404,32404,12,9,0
324.038,32404,32404,12,9,0
336.039,32408,32408,12,9,0
348.040,32472,32472,12,9,0
360.041,32536,32536,12,9,0
372.042,32548,32548,12,9,0
384.044,32548,32548,12,9,0
396.046,32548,32548,12,9,0
408.047,32616,32616,12,9,0
420.048,39632,40296,12,9,0
432.049,39760,40296,12,9,0
444.051,39816,40296,12,9,0
456.052,39852,40296,12,9,0
468.054,39864,40296,12,9,0
480.055,39864,40296,12,9,0
492.056,39864,40296,12,9,0
504.058,39864,40296,12,9,0
516.060,39864,40296,12,9,0
528.062,39864,40296,12,9,0
540.062,39864,40296,12,9,0
552.063,39864,40296,12,9,0
564.064,39864,40296,12,9,0
576.066,39864,40296,12,9,0
588.067,39864,40296,12,9,0
600.068,39864,40296,12,9,0
612.069,39864,40296,12,9,0
624.070,39864,40296,12,9,0
636.072,39864,40296,12,9,0
648.074,39864,40296,12,9,0
660.076,39864,40296,12,9,0
672.078,39864,40296,12,9,0
684.080,39864,40296,12,9,0
696.081,39864,40296,12,9,0
708.083,39864,40296,12,9,0
720.084,39936,40296,12,9,0
732.085,39996,40296,12,9,0
744.087,40060,40296,12,9,0
756.089,40108,40296,12,9,0
768.091,40108,40296,12,9,0
780.092,40108,40296,12,9,0
792.093,40108,40296,12,9,0
804.094,40144,40296,12,9,0
816.096,40144,40296,12,9,0
828.098,40144,40296,12,9,0
840.100,53968,55828,12,9,0
852.102,53968,55828,12,9,0
864.103,53968,55828,12,9,0
876.104,53968,55828,12,9,0
888.105,54036,55828,12,9,0
900.107,54036,55828,12,9,0
912.108,54036,55828,12,9,0
924.110,54036,55828,12,9,0
936.112,54036,55828,12,9,0
948.113,54036,55828,12,9,0
960.114,54036,55828,12,9,0
972.115,54036,55828,12,9,0
984.116,54036,55828,12,9,0
996.117,54036,55828,12,9,0
1008.119,54036,55828,12,9,0
1020.120,54036,55828,12,9,0
1032.121,54036,55828,12,9,0
1044.122,54036,55828,12,9,0
1056.123,54044,55828,12,9,0
1068.125,54044,55828,12,9,0
1080.126,54044,55828,13,9,0
1092.128,54044,55828,12,9,0
1104.130,54044,55828,12,9,0
1116.132,54044,55828,12,9,0
1128.134,54044,55828,12,9,0
1140.135,54044,55828,12,9,0
1152.137,54044,55828,12,9,0
1164.139,54044,55828,12,9,0
1176.140,54044,55828,12,9,0
1188.141,54044,55828,13,9,0
1200.142,54044,55828,12,9,0
1212.143,54044,55828,12,9,0
1224.144,54044,55828,12,9,0
1236.146,54044,55828,12,9,0
1248.147,54044,55828,12,9,0
1260.148,54044,55828,12,9,0
1272.149,54044,55828,12,9,0
1284.150,54092,55828,12,9,0
1296.151,54092,55828,12,9,0
1308.153,54092,55828,12,9,0
1320.154,54092,55828,12,9,0
1332.156,54100,55828,12,9,0
1344.157,54100,55828,12,9,0
1356.158,54100,55828,12,9,0
1368.159,54100,55828,12,9,0
1380.160,54100,55828,12,9,0
1392.161,54100,55828,12,9,0
1404.162,54100,55828,12,9,0
1416.164,54100,55828,12,9,0
1428.165,54196,55828,12,9,0
1440.166,54196,55828,12,9,0
1452.167,54196,55828,12,9,0
1464.169,54224,55828,12,9,0
1476.170,54224,55828,12,9,0
1488.172,54224,55828,12,9,0
1500.173,54268,55828,12,9,0
1512.175,54268,55828,12,9,0
1524.176,54268,55828,12,9,0
1536.177,54268,55828,12,9,0
1548.178,54268,55828,12,9,0
1560.179,54268,55828,12,9,0
1572.181,54268,55828,12,9,0
1584.182,54268,55828,12,9,0
1596.184,54268,55828,12,9,0
1608.184,54268,55828,12,9,0
1620.185,54268,55828,12,9,0
1632.186,54268,55828,12,9,0
1644.188,54276,55828,12,9,0
1656.189,54276,55828,12,9,0
1668.191,54276,55828,12,9,0
1680.192,81924,86020,12,9,0
1692.193,81924,86020,12,9,0
1704.195,81924,86020,12,9,0
1716.197,81924,86020,12,9,0
1728.198,81924,86020,12,9,0
1740.199,81924,86020,12,9,0
1752.201,81924,86020,12,9,0
1764.202,81924,86020,12,9,0
1776.203,81924,86020,12,9,0
1788.205,81924,86020,12,9,0
1800.000,81924,86020,12,9,0
